Title,Year,Genre,Rated,Plot
The Divorce,2003,"Drama, Romance, Comedy",PG-13,"The differences in legalities and cultural mores of French and Americans regarding sex, love, marriage, religion and family bonds are presented through the interactions of two families related by marriage. American Isabel Walker heads to Paris to visit her half-sister, poet Roxeanne de Persand, who is early in the pregnancy of her second child. Isabel arrives to find that Roxy's French husband, Charles-Henri de Persand, has just left Roxy, the sisters both eventually further learning that it is because he has fallen in love with another woman, who is herself married. Roxy and Charles-Henri deal with their break-up, which Roxy does not want but must face the legal consequences of, including determining the ownership of what may be a valuable French painting that has been casually in the Walker family for years, but which Roxy has had in her possession since she got married. Meanwhile, Isabel begins to explore all that France has to offer, which includes concurrently embarking on sexual relationships with two men, including one with Charles-Henri's older maternal uncle, the wealthy and well-appointed Edgar Cosset, who is himself already married and who is using the same play-book on her that he has on countless women before her. As groups and individuals within the two families disagree and argue about certain issues they are facing, it does not necessarily affect other issues and relationships between the two families based on their priorities and those cultural and legal standards."
Scary Movie 3,2003,Comedy,PG-13,"A mysterious killer video tape is circulating around. One look at this tape and you have seven days left to live. News Reporter Cindy Campbell (Faris) witnesses this video tape and tries to work out a way to prevent her death. But this is not the only mystery to appear. Crop circles have been appearing in the local farm of Tom (Sheen) and George (Rex). With help from Aunt Shaneequa (Latifah), Cindy suspects that the aliens may be linked with the killer tape and must now work out both mysteries before it's the end of the world."
Just Married,2003,"Comedy, Romance",PG-13,"A happy young couple, Sarah and Tom marry against the wishes of Sarah's friends and family and go to Europe for their honeymoon. Unfortunately for them, Sarah's parents send Sarah's ex-boyfriend Peter Prentis to break up the happy marriage."
Bringing Down the House,2003,Comedy,PG-13,"Peter Sanderson is a divorced, straight-laced, uptight attorney who still loves his ex-wife and can't figure out what he did wrong to make her leave him. However, Peter's trying to move on, and he's smitten with a brainy, bombshell barrister he's been chatting with online. However, when she comes to his house for their first face-to-face, she isn't refined, isn't Ivy League, and isn't even a lawyer. Instead, it's Charlene, a prison escapee who's proclaiming her innocence and wants Peter to help her clear her name. But Peter wants nothing to do with her, prompting the loud and shocking Charlene to turn Peter's perfectly ordered life upside down, jeopardizing his effort to get back with his wife and won a billion dollar client."
The Crocodile Hunter: Collision Course,2002,"Action, Adventure, Comedy",PG,"Aussie adventurer Steve Irwin aka The Crocodile Hunter has avoided the death-roll and nabbed another feisty croc, hoping to save it from poachers. What Steve doesn't know is that the crocodile has innocently swallowed a top secret US satellite beacon, and the poachers are actually American special agents sent to retrieve it. Crikey! In the Outback and through the bush with his wife Terri's ever-present commentary ringing out over the countryside (""That was a close one, Steve!""), the Crocodile Hunter is out to save the gorgeous croc and relocate him. It won't be easy, but if he can handle bird-eating spiders and venomous snakes without getting bitten, gun-wielding agents shouldn't be too much of a problem."
Charlie's Angels: Full Throttle,2003,"Action, Adventure, Comedy",PG-13,"The Angels--Natalie, Dylan, and Alex are back again but this time they're preparing for a strike without even warning as they go undercover to retrieve two missing silver bands. These are no ordinary rings. They contain valuable encrypted information that reveal the new identities of every person in the Federal Witness Protection Program. When witnesses start turning up dead, only the Angels, using their expertise as masters of disguise, espionage and martial arts can stop the perpetrator, a mysterious ""fallen"" Angel. Aided by their trusty colleague, Jimmy Bosley, the Angels' adventure begins at a remote Mongolian outpost and ends only after Dylan is forced to face a dark secret from her past--a secret that puts the lives of her two best friends in danger."
Anger Management,2003,Comedy,PG-13,"Mild-mannered timid businessman Dave Buznik works for a pet clothing company out of New York City. He's got an abrasive boss named Mr. Frank Head who frequently takes credit for his work and steps on him in return. He's got a loving girlfriend, Linda, whose best friend is her condescending college ex, Andrew. But when a misunderstanding aboard an airplane goes haywire, Dave is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell, who is an unpredictable, psychopathic character. As the relationship between Dave and Buddy becomes more tense, when the unorthodox treatment wreaks havoc Dave's life, and Buddy might be the only one who can save him from a problem he recognizes right away in his patient, that could only get worse."
American Splendor,2003,"Biography, Comedy, Drama",R,"Harvey Pekar is file clerk at the local VA hospital. His interactions with his co-workers offer some relief from the monotony, and their discussions encompass everything from music to the decline of American culture to new flavors of jellybeans and life itself. At home, Harvey fills his days with reading, writing and listening to jazz. His apartment is filled with thousands of books and LPs, and he regularly scours Cleveland's thrift stores and garage sales for more, savoring the rare joy of a 25-cent find. It is at one of these junk sales that Harvey meets Robert Crumb, a greeting card artist and music enthusiast. When, years later, Crumb finds international success for his underground comics, the idea that comic books can be a valid art form for adults inspires Harvey to write his own brand of comic book. An admirer of naturalist writers like Theodore Dreiser, Harvey makes his American Splendor a truthful, unsentimental record of his working-class life, a warts-and-all self portrait. First published in 1976, the comic earns Harvey cult fame throughout the 1980s and eventually leads him to the sardonic Joyce Barber, a partner in a Delaware comic book store who end ups being Harvey's true soul mate as they experience the bizarre byproducts of Harvey's cult celebrity stature."
The Order,2003,"Horror, Mystery, Thriller",R,"Alex Bernier (Ledger) is a member of an arcane order of priests known as Carolingians. When the head of the order dies, Alex is sent to Rome to investigate mysterious circumstances surrounding the death. The body bears strange marks on the chest which may or may not be the sign of a Sin Eater (Furmann), a renegade who offers absolution, last rites and therefore a path to heaven outside the jurisdiction of the church. Alex enlists the aid of his old comrade Father Thomas (Addy) and of a troubled artist (Sossamon) upon whom he once performed an exorcism. He soon finds himself plunged into a mystery only to find himself at the heart of it."
Drumline,2002,"Comedy, Drama, Romance",PG-13,"A fish-out-of-water comedy about a talented street drummer from Harlem who enrolls in a Southern university, expecting to lead its marching band's drumline to victory. He initially flounders in his new world, before realizing that it takes more than talent to reach the top."
Cabin Fever,2002,Horror,R,"The college friends Paul, Karen, Bert, Marcy and Jeff rent an isolated cabin in the woods to spend a week together. When they arrive, a man contaminated with a weird disease asks for help to them, but they get in panic and burn the man, who falls in the water reservoir and dies. The whole group, except Karen, makes a pact of drinking only beer along the week without knowing where the dead body is. When Karen drinks tap water and gets the disease, the group begins their journey to hell."
Barbershop,2002,"Comedy, Drama",PG-13,"A day in the life of a barbershop on the south side of Chicago. Calvin, who inherited the struggling business from his deceased father, views the shop as nothing but a burden and waste of his time. After selling the shop to a local loan shark, Calvin slowly begins to see his father's vision and legacy and struggles with the notion that he just sold it out. The barbershop is filled with characters who share their stories, jokes, trials and tribulations. In the shop we find Eddie, an old barber with strong opinions and no customers. Jimmy is a highly educated barber with a superiority complex who can't stand Isaac, the new, white barber who just wants a shot at cutting some hair. Ricky is an ex-con with two strikes against him and is desperately trying to stay straight. Terri is a hard-edged woman who can't seem to leave her two-timing boyfriend. And lastly there's Dinka, a fellow barber who is madly in love with Terri but doesn't get the time of day."
May,2002,"Drama, Horror",R,"When May was a child, she was a lonely girl with a lazy eye and without any friends except a weird and ugly doll kept in a glass case given by her bizarre mother on her birthday. May becomes a lonely, weird young woman, working in an animal hospital and assisting the veterinarian in surgeries and sewing operated animals most of the time. Her lesbian colleague Polly has a sort of attraction for her. When the shy May meets the mechanic Adam Stubbs, she loves his hands and has a crush on him. They date, but the weirdness and bizarre behavior of May pushes Adam away from her. Alone, May has a brief affair with Polly, but she feels rejected again when her colleague meets Ambrosia. When her doll is accidentally broken, the deranged May decides to build a friend for her, using the best parts her acquaintances can offer."
The Kid Stays in the Picture,2002,"Documentary, Biography",R,"This documentary captures the life story of legendary Hollywood producer and studio chief Robert Evans. The first actor to ever to run a film studio, Robert Evans' film career started in 1956, poolside at the Beverly Hills Hotel. His good looks, charm and overwhelming confidence captured the eye of screen legend Norma Shearer, who offered him a film role. After a glamorous--but short-lived--career as a movie star, Evans tried out producing. At the age of 34, with no producing credits to his name, he landed a job as chief of production at Paramount Pictures. Evans ran the studio from 1966-1974. During his tenure, he was responsible for such revolutionary films as The Godfather, Rosemary's Baby, Love Story, The Odd Couple, Harold and Maude and Chinatown. By the early '80s, the Golden Boy of Hollywood was losing his luster. After a failed marriage to Ali MacGraw, a cocaine bust and rumored involvement with the Cotton Club murder, he disappeared into near-obscurity. Only through tremendous will and uncanny luck did he once again rise as the kid who stays in the picture."
Old School,2003,Comedy,R,"Mitch, Frank and Beanie are disillusioned with their personal lives begining when Mitch's nymphomanic girlfriend, Heidi, cheats on him, then former party animal Frank gets married, but unwilling to let go of his wild life, and Beanie is a family man seeking to reclaim his wild and crazy youth. Beanie suggests that they form their own fraternity in Mitch's new house on a college campus to re-live their glory days by bringing together a variety of misfit college students, losers, middle-aged and elderly retirees as their new friends and later try to avoid being evicted by the new Dean of Students, Pritchard, whom still holds a personal grudge against all three of them."
Gerry,2002,"Adventure, Drama, Mystery",R,"Two friends that call each other Gerry decide to hide in the wilderness in order to see something. However, they do not find what they're looking for. They decide to return to the car but they get lost in the desert, without water, supplies or a compass. Now they have to walk, trying to find the road to survive."
The Hot Chick,2002,"Comedy, Fantasy",PG-13,"Jessica Spencer is the hottest, most popular girl in high school. Jessica, her best friend April, and a couple of other hot girls Lulu and Keecia visit the mall to hang out and do some shopping. They enter a new age store, where they check out a pair of ancient earrings. Unbeknownst to Jessica, these are magical ones set in ancient Abyssinia. A princess known as Princess Nawa is disgusted by the groom of her arranged marriage and switches bodies with a slave girl by means of an enchanted set of earrings. Since the earrings are not for sale, Jessica steals them. But the next morning she gets a big dose of reality when she wakes up in the body of a 30-something lowlife male, Clive, a career criminal. Clive finds himself in Jessica's body. Now it's up to Jessica (in Clive's body) to find a way to get her body back, while Clive (in Jessica's body) takes advantage of his new body to set in motion a crime spree to put the blame on Jessica!"
Winged Migration,2001,Documentary,G,"This documentary follows several species of migratory birds over a four year filming period. These birds travel several hundreds if not thousands of miles toward the equator in the autumn, and make the return journey to their higher latitude summer homes in the spring, always taking the same route, using the natural compasses of the universe, the stars, to find their way. Some species, like the arctic tern, even fly from pole to pole. These long and often torturous treks are a matter of survival, to live in a hospitable climate and find sources of food. With the exception of migratory penguins, travel over oceans is especially difficult as the birds have little refuge unless there is something floating on the water, such as a ship, on which to land. Otherwise they must continue flying until they reach land. Some will not survive the migration due to predators, including man, illness or injury. Although the migrations themselves are done as a community, once the birds reach their respective summer and winter homes, they disperse into family units. And every continent is affected by the migration as every continent is home, at least part of year, to a species of migratory bird."
Jeepers Creepers II,2003,Horror,R,"Stranded on a lonely road, a schoolbus full of high school basketball players, their coaches, and cheerleaders must defend themselves from the Creeper - a flesh-eating ancient beast that resurfaces on the earth every 23 years to feed. Meanwhile, a farmer and his son set out on a personal mission to hunt the Creeper down."
Man on the Train,2002,"Crime, Drama, Thriller",R,"A teacher and a gangster meet by chance in a small town pharmacy. As a friendship of sorts develops between these opposite personalities, each starts to envy the other and by the week's end, everything will change for both of them."
Dirty Pretty Things,2002,"Crime, Drama, Thriller",R,"Okwe is an illegal Nigerian immigrant leading a hard life and struggling to survive in London's underground. He works as a hotel receptionist in the night time and as he has a doctor degree he practices some medicine, during the day, in a very odd way. Besides that he must constantly escape from Immigration officers. One day Okwe discovers by chance an illegal scheme of surgeries is being lead by Juan, his boss in the hotel. Juan quickly comes up with a tempting proposal: if Okwe accepts to perform the illegal surgeries he makes a lot of money and gets legalized situation in the U.K. Can Okwe keep his moral values intact?"
Deliver Us from Eva,2003,"Comedy, Drama, Romance",R,"Eva Dandridge is a very uptight young woman who constantly meddles in the affairs of her sisters and their husbands. Her in-laws, who are tired of Eva interfering in their lives, decide to set her up with someone so she can leave them alone. They end up paying Ray, the local ""playboy,"" $5,000 to date her. The plan goes by smoothly, but troubles comes when Ray actually falls in love with Eva."
Timeline,2003,"Action, Adventure, Sci-Fi",PG-13,"In this case, a group of archaeologists and combat experts led by Paul Walker and Frances O'Connor use a ""3-D fax machine"" (so much for technobabble!) to time-travel back to France in 1357, in hopes of retrieving Walker's father and returning safely to the present. No such luck! Fending for themselves against marauding hordes of medieval French warriors at war with the invading British, these semi-intrepid travelers find their body count rising, and the deadline for their return home is rapidly approaching."
Blue Crush,2002,"Drama, Romance, Sport",PG-13,"Nothing gets between Anne Marie and her board. Living in a beach shack with three roommates including her rebellious younger sister, she is up before dawn every morning to conquer the waves and count the days until the Pipe Masters surf competition. Having transplanted herself to Hawaii with no one's blessing but her own, Anne Marie finds all she needs in the adrenaline-charged surf scene ... until pro quarterback Matt Tollman comes along. Like it or not, Anne Marie starts losing her balance - and finding it - as she falls for Matt."
Shanghai Knights,2003,"Action, Adventure, Comedy",PG-13,"When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds. Chon's sister, Lin, has the same idea, and uncovers a worldwide conspiracy to murder the royal family but almost no one will believe her."
Lilya 4-Ever,2002,"Crime, Drama",R,"While waiting for her mothers reply to take her to the USA, Lilya idles the time away smoking, drinking and having fun with her, too, outcast friend Volodya. In time, the chance of a new life becomes non-existent; her life is going nowhere. Meeting a young man, she then finds a plane ticket in her hand and a new life in Sweden: a job, an apartment and prospects. All is not what it seems. There shall be work, there shall be housing and there shall be no escape. This is the stark, frank and disturbing vision of the life of a young victim of the underground sex trade and in all its tone of realism of abject poverty, despicable actions and of wanting to show that dreaming of a better life is not a crime but that life can shatter the illusion of a happy ending."
Hero,2002,"Action, Adventure, History",PG-13,"In ancient China, before the reign of the first emperor, warring factions throughout the Six Kingdoms plot to assassinate the most powerful ruler, Qin. When a minor official defeats Qin's three principal enemies, he is summoned to the palace to tell Qin the story of his surprising victory."
Gigli,2003,"Comedy, Crime, Romance",R,"Gigli, a lowly and inept hitman, is assigned a job by the mob to kidnap an intellectually disabled brother of a California district attorney. Gigli abducts the brother from his mental hospital and holds him hostage in his apartment. Ricki, a ""lesbian assassin"", is sent to oversee Gigli's job and make sure he doesn't screw it up. Comedic high jinks ensue as the two go on the lam and start to fall in love."
Chicago,2002,"Comedy, Crime, Musical",PG-13,Murderesses Velma Kelly (a chanteuse and tease who killed her husband and sister after finding them in bed together) and Roxie Hart (who killed her boyfriend when she discovered he wasn't going to make her a star) find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.
