Title,Year,Genre,Plot
Starship Troopers,1997,"Action, Adventure, Sci-Fi",In the distant future high school kids are encouraged to become citizens by joining the military. What they don't know is that they'll soon be engaged in a full scale war against a planet of alien insects. The fight is on to ensure the safety of humanity.
Star Maps,1997,"Comedy, Drama","Carlos wants to be an actor. But his father, Pepe, wants him to work in the family business, that is, male prostitution. Carlos decides that he will be one of his father's boys until he can get his foot in the door in Hollywood. Finally one of his clients, a rich soap star, offers him a bit part in her show. Pepe tell Carlos that she is just using him and demands that he not see the women any longer. Carlos defies his father and when his big day comes he is finds out the harsh realities of life are even harsher than he imagined."
Stag,1997,"Action, Drama, Thriller","Victor Mallick returned to his home and found out that all of his friends have arranged a surprise bachelor/stag party for him. Two strippers were hired to cheer up the party. However, when some of the men accidentally killed one of the strippers, they are left to face the consequences of their action."
Sprung,1997,"Comedy, Romance","Two pairs of best friends - Montel & Clyde and Brandy & Adina meet at the party, where Clyde makes Adina think he is very rich and gets her into bed the same evening. When Adina finds out that she's been fooled, she becomes Clyde's worst enemy. Meanwhile Montel and Brandy fall in love and plan to marry, and Adina and Clyde try to do everything to stop them."
Spice World,1997,"Comedy, Family, Music","Climb aboard the double decker Spice Bus and get ready for a madcap musical adventure with the sexy phenomenons of pop - the Spice Girls. An encounter with extra-terrestrials, a night in a haunted castle, and a moment of truth in a maternity ward are just a few of the escapades the endeavored upon as the Girls gear up for their first live concert at London's Royal Albert Hall."
Sphere,1998,"Drama, Horror, Mystery","1000 feet below the ocean, navy divers discover an object half-a-mile long. A crack team of scientists are deployed to the site in Deepsea Habitats. What they find boggles the mind as they discover a perfect metal sphere. What is the secret behind the sphere? Will they survive the mysterious 'manifestations'? Who or what is creating these? They may never live to find out."
Speed 2: Cruise Control,1997,"Action, Adventure, Crime","Annie Porter, the woman who was held on a bus with a bomb attached to it that will go off if it slows down. She dated the cop who saved her but broke up with him because he was constantly putting his life in danger. She would then date a guy named Alex who is also a cop but told her that he does a mundane assignment. But she eventually learns that he works for the same unit that the other guy worked for and is also addicted to danger. She wants to break up with but he surprises her with a cruise. She agrees to go. And he's planning to propose to her. But when he notices another passenger act peculiar, he can't help but try to find out what's up with him. He's Geiger, a computer man who designed the ship's systems, who was fired. He then takes over the ship's systems and sets it on a course that will send it into a tanker. Alex tries to stop him."
Smilla's Sense of Snow,1997,"Action, Drama, Sci-Fi","Based on Peter Hoeg's bestseller, this film is set in snowy Copenhagen where a small boy is found dead after he fell off a roof. Smilla Jasperson, a close friend who lives in the same house begins to suspect murder because she knows that the boy was afraid of heights and would not have played on the roof. As she begins to investigate, she is pulled deeper and deeper into a conspiracy that could very well mean her death."
A Smile Like Yours,1997,"Comedy, Romance","A childless couple attempting to conceive discover that his sperm are ""lazy"". Several trips to a fertility clinic prove fruitless. Also, the wife had surreptitiously quit taking the pill and provided her doctor with a sperm sample before the husband agreed to start trying to have a baby. The deception alienates the husband for a time. To compound things, a female architect has the hots for the husband and lures him out of town on business at exactly the wrong time."
Sliding Doors,1998,"Comedy, Drama, Fantasy","In London, the public relation Helen is fired from her position in a PR company. While returning home, she does not catch the train in the subway. But in another possibility of her life, she catches the train in the subway. The story shows two parallel lives of Helen: in one life, she stays with her boyfriend Gerry, and in the other life, she finds that Gerry cheats her with Lydia and falls in love with James Hammerton."
A Simple Wish,1997,"Comedy, Family, Fantasy","Murray is a male fairy godmother, and he's trying to help 8-year-old Anabel to fulfill her ""simple wish"" - that her father Oliver, who is a cab driver, would win the leading role in a Broadway musical. Unfortunately, Murray's magic wand is broken and the fairies convention is threatened by evil witches Claudia and Boots."
Shooting Fish,1997,"Comedy, Crime, Romance","Dylan and Jez are con artists, Dylan is a charming American who's run from some characters in the states and Jez is an English techno nerd. During one of their scams selling a voice recognition computer they hire Georgie as a secretary for the job. The romantic triangle between Dylan, Jez and Georgie appears, but she is also not a secretary, but a student, and her marriage with rich Roger is upcoming."
She's So Lovely,1997,"Drama, Romance","Maureen is pregnant and her husband Eddie is missing. Nervous, Maureen shares a couple of drinks with neighbor Kiefer, who tries to rape her and then beats her. When Eddie returns and finds his wife bruised, he goes ballistic, shoots a paramedic and is put in a psychiatric institution. Ten years later, Eddie is released and finds that Maureen has divorced him and is remarried with three children, one of whom is his little girl Jeanie. Eddie goes to reclaim his wife."
Seven Years in Tibet,1997,"Adventure, Biography, Drama","After the death of 11 climbers, Austrian Heinrich Harrer (Brad Pitt) decides to add glory to his country and to the Austrian pride by climbing Nanga Parbat in British India, and leaves his expectant wife behind. An egoist and a loner, he does not get along with others on his team - but must bend to their wishes after bad weather threatens them. Then WWII breaks out, they are arrested and lodged in Dehra Dun's P.O.W. Camp. He attempts to break out several times in vain, but finally does succeed along with Peter Aufschnaiter (David Thewlis), and they end up in the holy city of Lhasa - a place banned to foreigners. They are provided food and shelter, and Peter ends up marrying a tailor, Pema Lhaki, while Heinrich befriends the Dalai Lama. They meet regularly; while he satiates the child's curiosity about the world, including Jack the Ripper and 'yellow hair'; he is exposed to the teachings of Lord Buddha, He even constructs a movie theater, while getting news of the end of the war, his divorce, and his son's refusal to communicate. But nothing will prepare him for the devastation about to descend when Communist China decides to attack, leading to the deaths of over 1 million Tibetans, the destruction of over 6000 monasteries, and betrayal from their very own people."
Selena,1997,"Biography, Drama, Music","The film tells the story of the life of Mexican ""Tejano"" style singer Selena Quintanilla-Perez and the progress of her career resulting in her No. 1 US album."
Scream 2,1997,"Horror, Mystery","Two years after the events of Scream, Sidney Prescott and Randy are attending Windsor college. They are trying to get on with their lives...Until a new Ghostface killing spree begins. With the help of Dewey and Gale, Sidney must find out who's behind the murders. As the body count goes up, the list of suspects goes down."
The Saint,1997,"Action, Adventure, Romance","Simon Templar has no real family, no real home and Simon Templar isn't even his real name. Yet Simon Templar, also known as the Saint for his use of creating false identities using the names of Catholic saints, is one of the world's most successful thieves. Slick, debonair and a master of disguise, Simon manages to outwit the police again and again. On his next job Simon is hired by the Russian Mafia to steal a cold fusion energy formula from scientist Emma Russel, however the mission backfires as he falls for the pretty, intelligent scientist. Simon and his new love must now manage to outwit the Russian Mafia and work out the energy formula before the worst happens and the US is affected forever."
Romy and Michele's High School Reunion,1997,Comedy,"Romy and Michele have been through it all, including being tortured by the Popular crowd when in high school. When they receive word of a 10 year reunion, they come to realize their lives aren't as impressive as they'd like them to be. Instead of staying home they go to the reunion with business outfits, cell phones, and one heck of a bogus success story."
RocketMan,1997,"Comedy, Family, Sci-Fi","Fred Z. Randall is a geeky and obnoxious spacecraft designer, who gets the chance to make his dream come true and travel to Mars as a member of the first manned flight there."
The Replacement Killers,1998,"Action, Crime, Thriller","John Lee is the best hitman money can buy. But when John refuses to kill because of the seven year-old son of his target, John's bosses send someone after John to kill him and then take his place in the ring of hitmen. John then teams up with Meg Coburn to help him escape these ""Replacement Killers."""
Red Corner,1997,"Crime, Drama, Thriller","Jack Moore is an American attorney having talks in Bejing about founding the first satellite TV joint venture. Suddenly he is arrested, accused of murder and has to prove it was a frame-up together with his court-appointed attorney Shen Yuelin."
Primary Colors,1998,"Comedy, Drama",Jack Stanton is running for president. The election is seen through the eyes of young Henry Burton. Along the way Stanton must deal with a sex scandal.
Prefontaine,1997,"Biography, Drama, Romance","Life and times of Steve Prefontaine, a young long-distance runner from Oregon who pursued the dream of Olympic gold in Munich and became one of the biggest, yet most tragic sport stars in America."
Without Limits,1998,"Biography, Drama, Sport","The film follows the life of famous 1970s runner Steve Prefontaine from his youth days in Oregon to the University of Oregon where he worked with the legendary coach Bill Bowerman, later to Olympics in Munich and his early death at 24 in a car crash."
The Postman,1997,"Action, Adventure, Drama","2013,Post-Apocalyptic America. An unnamed wanderer retrieves a Postman's uniform and undelivered bag of mail. He decides to pose as a postman and deliver the mail to a nearby town, bluffing that the United States government has been reinstated and tricking the town into feeding him. However, he reluctantly becomes a symbol of hope to the townspeople there who begin to remember the world that once was and giving them the courage to stand up to a tyrannical warlord and his army."
Picture Perfect,1997,"Comedy, Drama, Romance","Kate is working on a career at Mercer Advertising but is passed up for promotion because she's 'not stable enough', still being single and having no ties to the company. A story is made up about her being engaged to Nick, a guy whom she just met at a friend's wedding, and all seems to work out well for Kate. She even gets the attention of a colleague she had always wanted, but events soon take a dramatic turn, forcing her to 'present' her alleged fiance to her boss."
Out to Sea,1997,"Comedy, Romance","Care-free Charlie cons his widower brother-in-law Herb into an expenses-paid luxury cruise in search of rich, lonely ladies. The catch is that they are required to be dance hosts! With a tyrannical cruise director, and the luscious Liz and lovely Vivian, our heroes have lots of mis-adventures before they finally return to port."
One Night Stand,1997,"Drama, Romance","Los Angeles advertisement director Max visits his friend, artist Charlie, who was diagnosed with A.I.D.S. in New York City. There he meets Karen, they are attracted to each other and after they meet later that day at the concert, they have a passionate night. Then he returns home to Los Angeles to his family, and wife Mimi. A year later, Max returns to New York City again to visit Charlie, who is now dying, and there he meets Karen again, who is married to Charlie's brother Vernon."
As Good as It Gets,1997,"Comedy, Drama, Romance","New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast."
Office Killer,1997,"Comedy, Horror, Thriller","When Dorine Douglas' job as proofreader for Constant Consumer Magazine is turned into an at-home position during a downsizing, she doesn't know how to cope, but after accidentally killing one of her co-workers, she discovers that murder can quench the loneliness of her home life, as a macabre office place forms in her basement, populated by dead co-workers."
Four Days in September,1997,"Action, Drama, History","Fernando, a journalist, and his friend César join terrorist group MR8 in order to fight Brazilian dictatorial regime during the late sixties. Cesare, however, is wounded and captured during a bank hold up. Fernando then decides to kidnap the American ambassador in Brazil and ask for the release of fifteen political prisoners in exchange for his life."
Nowhere,1997,"Comedy, Drama, Sci-Fi","A group of teenagers try to sort out their lives and emotions while bizarre experiences happen to each one, including alien abductions, bad acid trips, bisexual experiences, suicides, bizarre deaths, and a rape by a TV star. All of this happens before ""the greatest party of the year""."
Nil by Mouth,1997,Drama,"The family of Raymond, his wife Val and her brother Billy live in working-class London district. Also in their family is Val and Billy's mother Janet and grandmother Kath. Billy is a drug addict and Raymond kicks him out of the house, making him live on his own. Raymond is generally a rough and even violent person, and that leads to problems in the life of the family."
Night Falls on Manhattan,1996,"Crime, Drama","Sean Casey is the newest member of the district attorneys office and he is close to uncovering a police scandal that might involve his father Liam, who works for the NYPD. Then his father is critically wounded in a stake-out, Sean is chosen to prosecute the case."
Next Stop Wonderland,1998,"Comedy, Drama, Romance","Erin is a nurse and her longtime boyfriend has dumped her. Her mother Piper places a personal ad for her. Meanwhile the film follows the life of Alan, a volunteer at a local aquarium who dreams of becoming a marine biologist. Will their paths cross?"
Murder at 1600,1997,"Action, Crime, Drama","A 25 year old female White House staffer, Carla Town, is murdered in the White House. D.C. homicide detective Regis is assigned to investigate, only to find evidence suppressed by the Secret Service. After suspecting a cover-up, Regis convinces Secret Service Agent Nina Chance to assist in uncovering the truth. The President's son Kyle Neil is a prime suspect, as he was having sex with Carla within an hour of her murder. While the investigation ensues, the President, Jack Neil, is holding meetings with top military personnel regarding North Korea's holding 23 U.S. military personnel hostage. Regis confronts top Secret Service Agent Spikings at his home shortly after Spikings returns with evidence leading to the murder. The home is attacked and Spikings is killed, but Regis makes it out alive with Agent Chance's assistance, and with the evidence tape. White House adviser Jordan presents false evidence to the President that his son killed Carla and forces the President to say he will announce his resignation at 10 p.m. the following day. Regis and Chance break into the White House via underground tunnels, stop the President from resigning, and arrest Jordan for conspiracy to murder. Jordan pulls a gun, injures Agent Chance, and is killed by multiple Secret Service agents. A news briefing states there were false rumors of the President resigning, and also falsely state that Agent Spikings was killed in the gunfire exchange between Jordan and the Secret Service."
Mrs Dalloway,1997,"Drama, Romance","London, summer 1923. Clarissa, MP Richard Dalloway's wife, sets out on a beautiful morning; she's shopping for flowers for her party that evening. At the same time Septimus Warren Smith, a young man who survived the battlefields of Europe, is suffering from a nightmarish delayed-onset form of shell-shock. Clarissa's nearly-grown daughter is distant, and preoccupied. In the course of one day, Peter, Clarissa's passionate old suitor, returns from India and is invited to her party; Septimus commits suicide; Clarissa relives a day in her youth (and her reasons for her choice of a life with the reliable Richard Dalloway)."
Mr. Magoo,1997,"Adventure, Comedy, Family","Mr.Magoo is an eccentric millionaire with very bad eyesight who refuses to use eyeglasses and therefore always gets into trouble. During the museum robbery he accidentally gets a priceless gem called the Star of Kurdistan, and begins to trace the way for the arch-criminals whose idea was to steal the gem - Austin Cloquet and Ortega ""The Piranha"" Peru, while two federal agents Stupak and Anders lead the manhunt for Mr.Magoo himself."
Mousehunt,1997,"Comedy, Family","A family film about a mouse that lives in an old house where the geriatric owner dies, and Ernie and Lars Smuntz have plans for, but they have trouble getting rid of the mouse. It's like Home Alone with a mouse."
Mortal Kombat: Annihilation,1997,"Action, Adventure, Fantasy","Mortal Kombat is an ancient tournament where the Earth Realm warriors battle against the forces of Outworld. Liu Kang and a few chosen fighters fought and defeated the powerful sorcerer Shang Tsung, their victory would preserve the peace on Earth for one more generation. Taking place now where the first movie left off, the Earth realm warriors live a short period of peace when evil forces from another dimension come to invade and wreak havoc on Earth. They are guided by the forces of Outworld leader, Shao Kahn and his generals such as: Motaro, Rain, Ermac, Sheeva and Sindel. Now Liu Kang, Raiden, Jax, Sonya and Kitana must defeat Shao Kahn in six days before the Earth realm merges with the Outworld."
Money Talks,1997,"Action, Comedy, Crime","Chris Tucker is a small time con man who instantly becomes famous after a murder, wanted dead or alive, his only hope is a journalist named James Russell (Sheen)."
Les Misérables,1998,"Crime, Drama, History","Jean Valjean, a Frenchman imprisoned for stealing bread, must flee a police officer named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France."
Mimic,1997,"Horror, Sci-Fi","A disease carried by common cockroaches is killing Manhattan children. In an effort to stop the epidemic an entomologist, Susan Tyler, creates a mutant breed of insect that secretes a fluid to kill the roaches. This mutant breed was engineered to die after one generation, but three years later Susan finds out that the species has survived and evolved into a large, gruesome monster that can mimic human form."
The Mighty,1998,"Comedy, Drama","This tells the story of a strong friendship between a young boy with Morquio's syndrome and an older boy who is always bullied because of his size. Adapted from the novel, Freak the Mighty, the film explores a building of trust and friendship. Kevin, an intelligent guy helps out Maxwell to improve his reading skills. In return, Kevin wants Maxwell to take him out places since he is not allowed out unauthorized. Being the social outcasts of the town, Kevin and Maxwell come to realize that they are similar to each other and accept that they are ""freaks"" and nothing will stop them."
Midnight in the Garden of Good and Evil,1997,"Crime, Drama, Mystery","This panoramic tale of Savannah's eccentricities focuses on a murder and the subsequent trial of Jim Williams: self made man, art collector, antiques dealer, bon vivant and semi-closeted homosexual. John Kelso a magazine reporter finds himself in Savannah amid the beautiful architecture and odd doings to write a feature on one of William's famous Christmas parties. He is intrigued by Williams from the start, but his curiosity is piqued when he meets Jim's violent, young and sexy lover, Billy. Later that night, Billy is dead, and Kelso stays on to cover the murder trial. Along the way he encounters the irrepressible Lady Chablis, a drag queen commedienne, Sonny Seiler, lawyer to Williams, whose famous dog UGA is the official mascot of the Georgia Bulldogs, an odd man who keeps flies attached to mini leashes on his lapels and threatens daily to poison the water supply, the Married Ladies Card Club, and Minerva, a spiritualist. Between being Jim's buddy, cuddling up to a torch singer, meeting every eccentric in Savannah, participating in midnight graveyard rituals and helping solve the mysteries surrounding Billy's murder, Kelso has his hands full."
Metro,1997,"Action, Comedy, Crime","Roper, a hostage negotiator catches a murderous bank robber after a blown heist. The bank robber escapes and immediately goes after the man who put him behind bars. The ending is played out with Roper and his partner McCall attempting to rescue Roper's kidnapped girlfriend. A major element in the plot is the relationship between Roper and his girlfriend."
Men with Guns,1997,"Action, Crime, Drama","Three losers, Eddie, Lucas and Mamet, are sent to collect some debt at a remote farm. But the thugs there are too hard for them, and they are humiliated. They return for revenge, it gets out of hand, ends with a bloodbath and they are left with a big amount of cocaine. The drugs belong to local mob boss Horace Burke, who sends his son to find them. Cops are also after them."
Men in Black,1997,"Adventure, Comedy, Family","Based off of the comic book. Unbeknownst to other people, there is a private agency code named MiB. This agency is some kind of extra terrestrial surveillance corporation. Then, one of the agency's finest men only going by the name ""K"" (Tommy Lee Jones) , is recruiting for a new addition to the agency. He has chosen James Edwards (Will Smith) of the N.Y.P.D. Then, one day, a flying saucer crashes into Earth. This was an alien a part of the ""Bug"" race. He takes the body of a farmer (Vincent D'Onofrio) and heads to New York. He is searching for a super energy source called ""The Galaxy"". Now, Agents J and K must stop the bug before it can escape with the galaxy."
Meet Joe Black,1998,"Drama, Fantasy, Romance","Bill Parrish, media tycoon, loving father and still a human being, is about to celebrate his 65th birthday. One morning, he is contacted by the Inevitable - by hallucination, as he thinks. Later, Death itself enters his home and his life, personified in a man's body: Joe Black has arrived. His intention was to take Bill with him, but accidentally, Joe's former host and Bill's beautiful daughter Susan have already met. Joe begins to develop certain interest in life on earth as well as in Susan, who has no clue who she's flirting with."
McHale's Navy,1997,"Action, Comedy","Retired Lieutenant Commander Quinton McHale spends his days puttering around the Caribbean in the old PT-73 selling homebrew, ice cream, and swimsuit calendars. He's brought out of retirement when his old nemesis turned the second best terrorist in the world, Major Vladikov, takes over the island of San Moreno and starts building a nuclear launch silo on it. With help from his old crew and hindrances from Captain Wallace B. Binghampton, who sank a cruise liner a while back, McHale tries to put Vladikov out of business."
The MatchMaker,1997,"Comedy, Romance","Marcy is an assistant to Senator John McGlory, who is having problems with a re-election campaign. Desperate for Irish votes, McGlory's chief of staff Nick sends Marcy to Ireland to trace McGlory's relatives or ancestors. Marcy arrives at the village of Ballinagra when it is preparing for an annual Matchmaking Festival. A well-dressed, handsome and single young lady, she becomes the center of attention for two professional matchmakers, Dermot and Millie, as well as for bartender Sean."
Twilight,1998,"Crime, Drama, Mystery",A retired ex-cop and private detective (Newman) who lives with a rich actor (Hackman) who is dying from cancer and his actress wife (Sarandon) gets mixed up in murder when he is asked to deliver blackmail money. He walks into a 20 year old case involving the mysterious disappearance of the actress's former husband. James Garner appears as another ex-cop who also does occasional errands for the couple.
Mad City,1997,"Crime, Drama, Thriller","Sam Baily, upset over losing his job, takes a natural history museum hostage. Max Brackett, journalist, is in the museum when this occurs, and gets the scoop. The story spreads nation wide, and soon it is all anyone talks about. The story itself is the news, not the reason why or the real people behind it."
Ma Vie en Rose,1997,Drama,Ludovic is a transgender girl who is coming out. She talks of marrying her neighbor's son and can not understand why everyone is so surprised about it. Her family and neighbors struggle with her actions.
Love! Valour! Compassion!,1997,"Comedy, Drama, Romance","Gregory invites seven friends to spend the summer at his large, secluded 19th-century home in upstate New York. The seven are: Bobby, Gregory's ""significant other,"" who is blind but who loves to explore the home's garden using his sense of touch; Art and Perry, two ""yuppies"" who drive a Volvo and who celebrate their 14th anniversary together that summer; John, a dour expatriate Briton who loathes his twin brother James; Ramon, John's ""companion,"" who is physically attracted to Bobby and immediately tries to seduce the blind man; James, a cheerful soul who is in the advanced stages of AIDS; and Buzz, a fan of traditional Broadway musicals who is dealing with his own HIV-positive status."
Love Is the Devil: Study for a Portrait of Francis Bacon,1998,"Biography, Drama, Romance","In the 1960s, British painter Francis Bacon (1909-1992) surprises a burglar and invites him to share his bed. The burglar, a working class man named George Dyer, 30 years Bacon's junior, accepts. Bacon finds Dyer's amorality and innocence attractive, introducing him to his Soho pals. In their sex life, Dyer dominates, Bacon is the masochist. Dyer's bouts with depression, his drinking and pill popping, and his satanic nightmares strain the relationship, as does his pain with Bacon's casual infidelities. Bacon paints, talks with wit, and, as Dyer spins out of control, begins to find him tiresome. Could Bacon care less?"
Love and Death on Long Island,1997,"Comedy, Drama","Giles De'Ath is a widower who doesn't like anything modern. He goes to movies and falls in love with film star, Ronnie Bostock. He then investigates everything about the movie and Ronnie. After that he travels to Long Island city where Ronnie lives and meets him, pretending that Ronnie is a great actor and that's why Giles admires him."
Deceiver,1997,"Crime, Drama, Mystery","Textile company heir Wayland is accused of murder of a prostitute named Elizabeth, whose body was found cut in two in the park. The murder is investigated by tough detective Kennesaw and his less experienced partner Braxton. Wayland is a heavy drinker and compulsive liar, he is prone to memory losses and periods of heavy violence. He is rich enough to access necessary information, and he gets the interrogators' own dark secrets - Kennesaw is angry about affairs his wife had and had let off steam with Elizabeth, and Braxton has gambling debts with Mook, who is demanding payment."
Your Friends & Neighbors,1998,"Comedy, Drama, Romance","Theater instructor Jerry starts an affair with Mary, and that starts a chain of events that affect their respective partners Terri and Barry and other characters in the film, creating a web of relationships."
Leave It to Beaver,1997,"Comedy, Family","Cleavers are an all-American family living in Ohio - wise father Ward, loving mother June, teen-age son Wally and 8-year-old ""Beaver"" Theodore. Beaver hopes to get a bike as a gift from his father and to please him tries out for his school football team and he makes it, only to be embarrassed. The bike he gets is quickly stolen. Meanwhile Wally is trying to help his friend Eddie Haskell to get the heart of pretty classmate Karen, but Karen seems to like Wally more, and that leads to tensions between the friends."
Lawn Dogs,1997,Drama,"Newly arrived in an up-market housing development, quiet ten-year-old Devon doesn't quite fit in. Ignoring the urgings of her social-climbing father, Devon chooses the company of Trent, who mows the estate's lawns, rather than of the girls her own age. Their friendship grows during her visits to his trailer home, but although it is completely innocent it is obvious that it would be unacceptable to the residents if they found out."
L.A. Confidential,1997,"Crime, Drama, Mystery","1950's Los Angeles is the seedy backdrop for this intricate noir-ish tale of police corruption and Hollywood sleaze. Three very different cops are all after the truth, each in their own style: Ed Exley, the golden boy of the police force, willing to do almost anything to get ahead, except sell out; Bud White, ready to break the rules to seek justice, but barely able to keep his raging violence under control; and Jack Vincennes, always looking for celebrity and a quick buck until his conscience drives him to join Exley and White down the one-way path to find the truth behind the dark world of L.A. crime."
Kundun,1997,"Biography, Drama, History","The Tibetans refer to the Dalai Lama as 'Kundun', which means 'The Presence'. He was forced to escape from his native home, Tibet, when communist China invaded and enforced an oppressive regime upon the peaceful nation of Tibet. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since."
Kull the Conqueror,1997,"Fantasy, Action, Adventure","A barbarian named Kull unexpectedly becomes a king after an old king (whom Kull has just killed in a battle) gives his crown to him. But direct heirs of a killed king, trying to topple Kull and regain the throne, bring an old witch-queen Akivasha back to life. Their plan backfires, however, as Akivasha is going to allow their lords - demons - to rule the kingdom. The only thing that can stop her now is a breath of the god Volka."
Kiss the Girls,1997,"Crime, Drama, Mystery","Alex Cross, a Washington D.C. cop and forensic psychologist learns that his niece who is going to college in North Carolina is missing. So he goes there and learns that the police think she's among the victims of someone who kidnaps young girls and holds them captive and kills them who dubs himself Cassanova after the great lover. Later Kate, one of his victims, escapes and tries to help Cross find his niece."
"Kiss Me, Guido",1997,Comedy,"Warren has an extra room in his apartment (and is five months behind on the rent) after his lover moves out, so a friend places an ad on his behalf for a GWM roommate. Frankie, a pizza baker (and aspiring actor), decides to move out of his family's flat in The Bronx when he comes home one evening and walks in on his brother making love to Frankie's girlfriend. Frankie checks ads for roommates in ""the city"" (i.e., Manhattan), notices Warren's ad and decides to answer it, reasoning that GWM stands for ""Guy With Money."""
A Merry War,1997,"Comedy, Drama, Romance","Gordon Comstock is a copywriter at an ad agency, and his girlfriend Rosemary is a designer. Gordon believes he is a genius, a marvelous poet and quits the ad agency, trying to live on his poems, but poverty soon comes to him."
Character,1997,"Crime, Drama, Mystery","In the 20's, in Netherlands, Jacob Willem Katadreuffe has just concluded the law school and has an argument with the High Court Enforcement Officer Dreverhaven at his office. Katadreuffe leaves the place covered in blood. On the next morning, he is arrested by the police for the murder of Dreverhaven. He claims that he is innocent and discloses the story of his life to the Chief of Police. His mother Joba was the maid at Dreverhaven. One night, she is raped by him and a couple of weeks later she learns that she is pregnant. Dreverhaven proposes to marry her but Joba quits her job and leaves his house. Along the years, Katadreuffe is bullied at school and called bastard by his mates and his mother never talks to him. One day, he is involved by other kids in a theft of bread and arrested by the police. When he calls his biological father to help him, Dreverhaven tells the police that he does not know who Katadreuffe is. The boy is intelligent and learns English reading a superseded and incomplete edition of encyclopedia that was left behind by the previous tenants of his apartment. Katadreuffe is also ambitious and asks for a job in a law office, where he becomes the protégé of his mentor De Gankelaar. Soon he falls in unrequited love with the secretary Lorna Te George Victor. Along the years, Dreverhaven uses his power to harm him. When he concluded his course, he decides to pay a visit to Dreverhaven to tell him that he has wined their dispute. May Katadreuffe have killed Dreverhaven?"
Jungle 2 Jungle,1997,"Comedy, Family","Michael Cromwell is a successful albeit self-absorbed commodities broker who wants to marry his new girlfriend, but to do that he has to divorce his ex-wife who has spent several years living among South American Indians. When he travels there to obtain the divorce papers, he discovers he has a teenage son, who accompanies him back to America to learn the ways of the urban jungle."
Jackie Brown,1997,"Crime, Drama, Thriller","The middle-aged stewardess Jackie Brown smuggles money from Mexico to Los Angeles for the arms dealer Ordell Robbie. When she gets caught by the agents Ray Nicolet and Mark Dargus with ten thousand dollars and cocaine in her purse, they propose a deal to her to help them to arrest Ordell in exchange of her freedom. Meanwhile Ordell asks the 56-year-old Max Cherry, who runs a bail bond business, to release Jackie Brown with the intention of eliminating her. Jackie suspects of Ordell's intention and plots a complicated confidence game with Max to steal half a million dollars from Ordell."
