Title,Year,Rated,Genres,Plot
Looking for Mr. Goodbar,1977,R,"Drama, Romance",Theresa is a successful teacher of deaf children during the day but after a short unhappy affair starts to spend her nights cruising bars. Her craving first for sex but later also for drugs leads into increasingly demeaning and dangerous situations completely at odds with her daytime commitment to her children.
Equus,1977,R,"Drama, Mystery","A psychiatrist, Martin Dysart, investigates the savage blinding of six horses with a metal spike in a stable in Hampshire, England. The atrocity was committed by an unassuming seventeen-year-old stable boy named Alan Strang, the only son of an opinionated but inwardly-timid father and a genteel, religious mother. As Dysart exposes the truths behind the boy's demons, he finds himself face-to-face with his own."
The Duellists,1977,PG,"Drama, War","Set during the grand, sweeping Napoleonic age, an officer in the French army insults another officer and sets off a life-long enmity. The two officers, D'Hubert and Feraud, cross swords time and time again in an attempt to achieve justice and preserve their honor."
The Pink Panther Strikes Again,1976,PG,"Comedy, Crime","Charles Dreyfus escapes from the mental asylum and tries to kill Chief Inspector Jacques Clouseau. He doesn't succeed at first, so he takes on another strategy, namely to build a Doomsday machine and demand that someone else kills Jacques Clouseau, or Dreyfus will use the machine to wipe out whole cities and even whole countries... With about 22 assassins from all over the globe on his tail, Clouseau decides to find Dreyfus alone and put him back in the mental asylum."
The Man Who Fell to Earth,1976,R,"Sci-Fi, Drama","Thomas Jerome Newton is a humanoid alien who comes to Earth to get water for his dying planet. He starts a high technology company to get the billions of dollars he needs to build a return spacecraft, and meets Mary-Lou, a girl who falls in love with him. He does not count on the greed and ruthlessness of business here on Earth, however."
The Tenant,1976,R,"Drama, Thriller","In Paris, the shy bureaucrat Trelkovsky rents an old apartment without bathroom where the previous tenant, the Egyptologist Simone Choule, committed suicide. The unfriendly concierge (Shelley Winters) and the tough landlord Mr. Zy establish stringent rules of behavior and Trelkovsky feels ridden by his neighbors. Meanwhile he visits Simone in the hospital and befriends her girlfriend Stella. After the death of Simone, Trelkovsky feels obsessed for her and believes his landlord and neighbors are plotting a scheme to force him to also commit suicide."
Bugsy Malone,1976,G,"Comedy, Crime, Family","A gangster movie where all the gangsters are played by children. Instead of real bullets they use ""splurge guns"" that cover the victim in cream. The story tells of the rise of ""Bugsy Malone"" and the battle for power between ""Fat Sam"" and ""Dandy Dan""."
The Big Bus,1976,PG,"Comedy, Action","The ultimate disaster film parody. A nuclear powered bus is going Non-stop from New York to Denver and is plagued by disasters due to the machinations of a mysterious group allied with the Oil lobby. When the driver is injured a washed up, down on his luck, but used to be great type, who as it happens, used to be engaged to the inventor's daughter is brought in to drive the giant bus which includes a one lane swimming pool and a one lane bowling alley."
All the President's Men,1976,PG,"Biography, Drama, History","In the run-up to the 1972 elections, Washington Post reporter Bob Woodward covers what seems to be a minor break-in at the Democratic Party National headquarters. He is surprised to find top lawyers already on the defense case, and the discovery of names and addresses of Republican fund organizers on the accused further arouses his suspicions. The editor of the Post is prepared to run with the story and assigns Woodward and Carl Bernstein to it. They find the trail leading higher and higher in the Republican Party, and eventually into the White House itself."
Rollerball,1975,R,"Action, Sci-Fi, Sport","In a futuristic society where corporations have replaced countries, the violent game of Rollerball is used to control the populace by demonstrating the futility of individuality. However, one player, Jonathan E., rises to the top, fights for his personal freedom, and threatens the corporate control."
The Giant Spider Invasion,1975,PG,"Horror, Sci-Fi","A black hole hits North Wisconsin and opens a door to other dimensions. Giant 15 meter spiders emerge from it, who have an appetite for human flesh! Dr. Jenny Langer and Dr. Vance from the NASA try to save the world."
Breakout,1975,PG,"Action, Adventure, Drama","Jay Wagner is framed by the mob and sent to prison in Mexico. His wife, Ann tries to get him out. She then turns to bush pilot Nick Colton for help. And Colton is all to eager to do it. But the men who framed Jay will do what they have to make sure he doesn't escape."
Bite the Bullet,1975,PG,"Action, Adventure, Western","At the beginning of the 20th century, a newspaper organizes an endurance horse race: 700 miles to run in a few days. 9 adventurers are competing, among them a woman, Miss Jones, a Mexican, an Englishman, a young cowboy, an old one and two friends, Sam Clayton and Luke Matthews. All those individualists will learn to respect each other."
A Woman Under the Influence,1974,R,"Drama, Romance","Peter Falk is a blue collar man trying to deal with his wife's mental instability. He fights to keep a semblance of normality in the face of her bizarre behavior, but when her actions affect their children, he has her committed."
Lenny,1974,R,"Biography, Drama",Interview-style biography of controversial and pioneering stand-up comedian Lenny Bruce. The film traces Bruce from his beginnings as a Catskills comic to his later underground popularity based on his anti-establishment politics and his scatological humor.
The Gambler,1974,R,"Crime, Drama","Axel Freed, a College Professor and very successful at his job, is a gambling junkie who wins big but loses it all at the same time. He borrowed from his girlfriend, his wealthy mother, and last but not least a Loan Shark from the Mob. It just gets worse for him because he loses all his cash each time and acts like it doesn't matter. But when his Girlfriend decides to leave him, his Mom decides to disown him, and the Mob wants to kill him, Axel decides to make a big score to win big and pay off everyone to stay alive and keep his dignity and come out ahead."
The Front Page,1974,PG,"Comedy, Drama, Romance","When Hildy Johnson, the top reporter of a Chicago newspaper announces that he is quitting to get married, his editor, Walter Burns desperately tries to change his mind. When denial, cursing, and luring don't work, Walter resorts to tricks. It's the day before a supposed communist is to be hanged, and all Chicago waits with baited breath. Meanwhile, each of the papers has a man on the story trying to get a scoop or angle for themselves. With a train to catch at midnight to join his fiancé, Hildy is at first not interested, but events and his own habits work against him as the day unfolds, and he can't help but get roped in, especially when the man to be executed escapes and then almost literally falls into his lap."
Black Christmas,1974,R,"Horror, Mystery, Thriller","It's time for Christmas break, and the sorority sisters make plans for the holiday, but the strange anonymous phone calls are beginning to put them on edge. When Clare disappears, they contact the police, who don't express much concern. Meanwhile Jess is planning to get an abortion, but boyfriend Peter is very much against it. The police finally begin to get concerned when a 13-year-old girl is found dead in the park. They set up a wiretap to the sorority house, but will they be in time to prevent a sorority girl attrition problem?"
Beautiful People,1974,G,"Comedy, Documentary",Hilarious documentary on the wildlife of the Namib Desert.
Amarcord,1973,R,"Comedy, Drama","One year in a small northern Italian coastal town in the late 1930s is presented. The slightly off-kilter cast of characters are affected by time and location, the social mores dictated largely by Catholicism and the national fervor surrounding Il Duce aka Benito Mussolini and Fascism. The stories loosely center on a mid-teen named Titta and his household including his adolescent brother, his ever supportive mother who is always defending him against his father, his freeloading maternal Uncle Lallo, and his paternal grandfather who slyly has eyes and hands for the household maid. Other townsfolk include: Gradisca, the town beauty, who can probably have any man she wants, but generally has no one as most think she out of their league; Volpina, the prostitute; Giudizio, the historian; a blind accordionist; and an extremely buxom tobacconist. The several vignettes presented include: the town bonfire in celebration of spring; life at Titta's school with his classmates and teachers; Aurelio, Titta's father, at his beachfront construction worksite and his and his workmates' encounter with Volpina; Titta's confessions to the priest about his burgeoning sexuality; Aurelio being questioned by authorities about his anti-Fascist leanings; a fantasy sequence at the luxurious Grand Hotel; a family outing with Aurelio's institutionalized brother, Teo; many townsfolk embarking on a sail to witness a marine event passing by their town; an annual car race; Titta's fantasy encounter with the tobacconist after closing hours come true; events surrounding the big snowfall that year, including a family tragedy; and an event centering on Gradisca and her future."
White Lightning,1973,PG,"Action, Drama, Crime",An ex con teams up with federal agents to help them with breaking up a moonshine ring.
Paper Moon,1973,PG,"Comedy, Crime, Drama","Adapted from the novel, ""Addie Pray"" (1971) by Joe David Brown, PAPER MOON is the story of Moses Pray and Addie Loggins. With scenery reminiscent of ""The Grapes of Wrath,"" the film is set in the depression-era Midwestern region of the United States. As the movie opens, we see a small group of mourners clustered at a graveside. Among the mourners is Addie, the dead woman's small daughter. Moses Pray -- ostensibly of the ""Kansas Bible Company"" -- approaches the group, as the service concludes, and two of the elderly women remark that the child bears some resemblance to him and asks if he might be related. ""If ever a child needed kin, it's now,"" one lady says. With no knowledge of who her father is, Addie's only haven is her Aunt's home in St. Joseph, Missouri. Having identified himself as a ""traveling man spreading the Lord's gospel in these troubled times,"" ""Mose"" is prevailed upon to deliver the helpless child to her Aunt since he's going that way, anyway. Addie, wise beyond her years, soon discovers that Mose is little more than a scam artist traveling from town to town delivering unordered Bibles and charging exorbitant prices to recently widowed women whom he identifies through the obituary columns of local papers. Soon, Addie and Mose become a team, traveling from town to town, making money in every dishonest way imaginable, and looking for the ultimate score. The colorful characters they meet along the way make the film all the more interesting. Paramount among these is ""Miss Trixie Delight,"" an exotic dancer who Mose rescues from a traveling carnival and her minion, Imogene. The film is peppered with ""regional"" dialog. Perhaps one of the most memorable lines of the movie is uttered when Mose is forced to wrestle a backwoodsman in order to trade his new car for the hillbilly's battered old truck. ""Make him say calf-rope, Leroy!"" one of the observers calls out."
Day for Night,1973,PG,"Comedy, Drama, Romance","The shooting of ""Je vous presente Pamela"" (may I introduce Pamela) begins. This is the story of en English married wife falling in love and running away with the father of her French husband. Will be simultaneously shown the shooting, the behavior of the people (including the technical team) on the set, and a part of their private life (a factor of complication)..."
Jesus Christ Superstar,1973,G,"Drama, History, Musical","Based on a concept album project written by Andrew Lloyd Webber and Tim Rice, and the subsequent long-running Broadway performance, this film tells the story of the final 6 days in the life of Jesus Christ through the troubled eyes of Judas Iscariot. Too often mis-labeled a musical, this film is a ""rock opera."" There are no spoken lines, everything is sung."
The Crazies,1973,R,"Action, Horror, Sci-Fi","A biological weapon gone awry is only the start of problems in the little town of Evan's City, Pennsylvania. Bouts of insanity in the populace are leading to murder and rioting, until the US Army turns up - and things really start going to hell."
"Play It Again, Sam",1972,PG,"Comedy, Romance","A mild mannered film critic is dumped by his wife and his ego is crushed. His hero persona is the tough guy played by Humphrey Bogart in many of his movies and the apparition of Bogart begins showing up to give him advice. With the encouragement of his two married friends, he actually tries dating again, with less than satisfactory results, until he relaxes."
The Last House on the Left,1972,R,"Horror, Thriller","On the eve of her seventeenth birthday, Mari Collingwood tells her parents that she is going to the concert of underground band Bloodlust in New York with her friend Phyllis Stone. She borrows the family's car and heads with her friend to a dangerous neighborhood in the city. Meanwhile, the sadistic and cruel escapees Krug Stillo and Fred 'Weasel' Podowski are hidden in a hideout with their partners Sadie (Jeramie Rain) and Krug's addicted son Junior Stillo (Marc Sheffler) after killing two guards and one shepherd in their runaway. The two girls seek marijuana near the theater and meet Junior that offers some Colombian grass to them. They go to his apartment and are subdued by the criminals that rape Phyllis. On the next morning, they hide the girls in the trunk of their convertible and head to Canada. However, they have a problem with the car's rod and they stop on the road close to Mari's house. When Phyllis tries to escape, the gang stabs her to death and shots Mari after humiliating and raping them. They seek shelter in Mari's home, but during the night, her mother overhears a conversation of the criminals telling that they have killed her daughter. She tells her husband and they plot a scheme to revenge the death of their princess."
Butterflies Are Free,1972,PG,"Comedy, Drama, Music","All Don Baker wants is a place of his own away from his over-protective mother. Don's been blind since birth, but that doesn't stop him from setting up in a San Francisco apartment and making the acquaintance of his off-the-wall, liberated, actress neighbor Jill. Don learns the kind of things from Jill that his mother would never have taught him! And Jill learns from Don what growing up and being free is really all about."
Boxcar Bertha,1972,R,"Crime, Drama, Romance","Based on ""Sister of the Road,"" the fictionalized autobiography of radical and transient Bertha Thompson as written by physician Dr. Ben L. Reitman, 'Boxcar' Bertha Thompson, a woman labor organizer in Arkansas during the violence-filled Depression of the early '30's meets up with rabble-rousing union man 'Big' Bill Shelly and they team up to fight the corrupt railroad establishment and she is eventually sucked into a life of crime with him."
Two-Lane Blacktop,1971,R,Drama,"The Driver and The Mechanic are two car freaks driving a 1955 Chevy throughout the southwestern U.S. looking for other cars to race. They are totally dedicated to The Car and converse with each other only when necessary. At a gas station, The Driver and The Mechanic, along with a girl who has ingratiated herself into their world, meet G.T.O., a middle-aged man who fabricates stories about his exploits. It is decided to have a race to Washington, D.C., where the winner will get the loser's car. Along the way, the race and the highway metaphorically depict the lives of these contestants as they struggle to their destination."
Straw Dogs,1971,R,"Crime, Drama, Thriller","Upon moving to Britain to get away from American violence, astrophysicist David Sumner and his wife Amy are bullied and taken advantage of by the locals hired to do construction. When David finally takes a stand it escalates quickly into a bloody battle as the locals assault his house."
Death in Venice,1971,GP,Drama,"In this adaptation of the Thomas Mann novel, avant-garde composer Gustave Aschenbach (loosely based on Gustav Mahler) travels to a Venetian seaside resort in search of repose after a period of artistic and personal stress. But he finds no peace there, for he soon develops a troubling attraction to an adolescent boy, Tadzio, on vacation with his family. The boy embodies an ideal of beauty that Aschenbach has long sought and he becomes infatuated. However, the onset of a deadly pestilence threatens them both physically and represents the corruption that compromises and threatens all ideals."
Macbeth,1971,R,"Biography, Drama, History",Roman Polanski's version of Shakespeare's tragedy about a Scottish lord who murders the king and ascends the throne. His wife then begins hallucinating as a result of her guilt complex and the dead king's son conspires to attack Macbeth and expose him for the murderer he is.
The Hospital,1971,PG-13,"Comedy, Drama, Mystery","Herbert Bock, the chief of medicine in a New York City teaching hospital, is contemplating suicide; he's impotent, his wife has left him, and his children aren't speaking to him. His hospital is also suffering from a recent spate of inexplicable deaths. In the midst of these setbacks, Bock is romantically drawn to the much younger Barbara, whose father is a patient. As Barbara restores Bock's will to live, it turns out that the hospital deaths are murders."
The Andromeda Strain,1971,G,"Sci-Fi, Thriller","When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. Many years prior to this incident, a group of eminent scientists led by Dr. Jeremy Stone (Arthur Hill) advocated for the construction of a secure laboratory facility that would serve as a base in the event an alien biological life form was returned to Earth from a space mission. Stone and his team - Drs. Dutton, Leavitt and Hall (David Wayne, Kate Reid, and (James Olson, respectively)- go to the facility, known as Wildfire, and try to first isolate the life form while determining why two people from Piedmont (an old wino and a six-month-old baby) survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device should it manage to escape."
Women in Love,1969,R,"Drama, Romance","The battle of the sexes and relationships among the elite of Britain's industrial Midlands in the 1920s. Gerald Crich and Rupert Berkin are best friends who fall in love with a pair of sisters Gudrun, a sculptress and Ursula Brangwen, a schoolteacher. Rupert marries Ursula, Gerald begins a love affair with Gudrun, and the foursome embarks upon a Swiss honeymoon. But the relationships take markedly different directions, as Russell explores the nature of commitment and love. Rupert and Ursula learn to give themselves to each other; the more withdrawn Gerald cannot, finally, connect with the demanding and challenging Gudrun."
THX 1138,1971,R,"Drama, Sci-Fi, Thriller","It's sometime in the future in a state controlled society, where conformity and homogeneity are the rule. What is also the rule is that the populace follows the wants of the faceless state without question. How this is achieved is through a mandatory drug regimen, which also suppresses human desire, with sexual intercourse and human relationships banned. The law of the state is policed by a force of robocops. The physical environment is totally within a manufactured enclosure, what being outside of this unknown. THX 1138 is a loyal subject, he who goes about his business as a skilled factory working building robocops. And even when he begins to have strange feelings, he does what is obliged by going to the state run confessional, which further brainwashes through its reinforced mantra of happiness, loyalty and understanding. THX 1138 is given a glimpse into the other side through his computer matched and thus appointed female roommate, LUH 3417, and her surveillance colleague SEN 5241, LUH 3417's vision which may be something that THX 1138 may want to continue despite its illegality. If THX 1138 is able to keep his activities from the authorities and the robocops, he will have to figure out what options are available to him."
Start the Revolution Without Me,1970,M,"Comedy, History","An account of the adventures of two sets of identical twins, badly scrambled at birth, on the eve of the French Revolution. One set is haughty and aristocratic, the other poor and somewhat dim. They find themselves involved in palace intrigues as history happens around them. Based, very loosely, on Dickens's _A Tale of Two Cities_, Dumas's _The Corsican Brothers_, etc."
The Railway Children,1970,G,"Family, Drama","The film opens in a happy, comfortable upper middle-class home in Edwardian London. One night in 1905, the three children see their father usher two strangers into his study. After an argument he leaves with them and does not return. They and their mother fall on hard times and eventually move to a cottage in the country. Yet they keep their spirits up and find ways to help others. Fascinated by the nearby railway, they wave to the passengers faithfully every day, and their vigilance and courage prevent an accident. Their kindness makes friends of some important people who can help solve the mystery of their missing father."
Hercules in New York,1970,G,"Adventure, Family, Fantasy","After many centuries, Hercules gets bored living in Olympus (the home of the great Greek gods) and decides to move to... New York. But obviously, it is not easy for a man who lived in ancient Greece to get used to modern life. So, things get a little tricky, especially when Zeus sends a few gods to bring his semi-god son back to mount Olympus."
Z,1969,PG,"Crime, Drama, History","In a mid-sized metropolis (population 500,000) in a right-wing military led country, a pacifist organization, which supports the opposition party in the government, is planning on holding an anti-military, nuclear disarmament rally. The organization's charismatic leader - the deputy - is scheduled to arrive in the town from the capital the day of the rally. Beyond the problems arranging the rally due to the probable incitement of violence at such a rally, the organization learns of an unconfirmed report that there will be an attempt on the deputy's life. The rally does happen, after which a three-wheeled kamikaze runs over the deputy, who eventually passes away from his injuries. The official report is that the incident was a drunken accident. In reality, the deputy's death was murder orchestrated by the secret police, the general for who likens the pacifist organization to mildew killing off agricultural crops. A magistrate is assigned to the case. Although he does have political views, he is more interested in finding out the truth, and as such has to wade through the political rhetoric and politically motivated testimony he hears. Thrown into the mix is a photojournalist who too is looking for the truth, as it, he believes, will make a great front page story."
Where Eagles Dare,1968,PG,"Action, Adventure, War","During WW2 a British aircraft is shot down and crashes in Nazi held territory. The Germans capture the only survivor, an American General, and take him to the nearest SS headquarters. Unknown to the Germans the General has full knowledge of the D-Day operation. The British decide that the General must not be allowed to divulge any details of the Normandy landing at all cost and order Major John Smith to lead a crack commando team to rescue him. Amongst the team is an American Ranger, Lieutenant Schaffer, who is puzzled by his inclusion in an all British operation. When one of the team dies after the parachute drop, Schaffer suspects that Smith's mission has a much more secret objective."
Sweet Charity,1969,G,"Comedy, Drama, Music","Taxi dancer Charity continues to have Faith in the human race despite apparently endless disappointments at its hands, and Hope that she will finally meet the nice young man to romance her away from her sleazy life. Maybe, just maybe, handsome Oscar will be the one to do it."
The Italian Job,1969,G,"Action, Comedy, Crime","Charlie's got a 'Job' to do. Having just left prison, he finds one of his friends has attempted a high risk job in Italy right under the nose of the Mafia. Charlie's friend doesn't get very far so Charlie takes over the 'Job'. Using three Mini Coopers, a couple of Jaguars and a bus, he hopes to bring Torino to a standstill, steal the Gold and escape."
"Hello, Dolly!",1969,G,"Adventure, Comedy, Musical","A matchmaker named Dolly Levi takes a trip to Yonkers, New York to see the ""well-known unmarried half-a-millionaire,"" Horace Vandergelder. While there, she convinces him, his two stock clerks and his niece and her beau to go to New York City. In New York, she fixes Vandergelder's clerks up with the woman Vandergelder had been courting, and her shop assistant (Dolly has designs of her own on Mr. Vandergelder, you see)."
Cactus Flower,1969,M,"Comedy, Romance","Toni Simmons believes that the only reason her married lover won't leave his wife is because of the children. In truth, her lover, dentist Julian Winston, doesn't have any children. In fact, Julian doesn't even have a wife - he just tells women he does to avoid getting involved. When Julian does decide to take the plunge with Toni she insists on meeting the first wife and Julian enlists the aid of his long-time nurse/receptionist Stephanie Dickinson to play the part."
Bullitt,1968,M/PG,"Action, Crime, Mystery","High profile San Francisco Police Lieutenant Frank Bullitt is asked personally by ambitious Walter Chalmers, who is in town to hold a US Senate subcommittee hearing on organized crime, to guard Johnny Ross, a Chicago based mobster who is about to turn evidence against the organization at the hearing. Chalmers wants Ross' safety at all cost, or else Bullitt will pay the consequences. Bullitt and his team of Sergeant Delgetti and Detective Carl Stanton have Ross in protective custody for 48 hours over the weekend until Ross provides his testimony that upcoming Monday. Bullitt's immediate superior, Captain Samuel Bennet, gives Bullitt full authority to lead the case, no questions asked for any move Bullitt makes. When an incident occurs early during their watch, Bullitt is certain that Ross and/or Chalmers are not telling them the full story to protect Ross properly. Without telling Bennet or an incensed Chalmers, Bullitt clandestinely moves Ross while he tries to find out who is after Ross, and why Ross has seemingly made it so easy for ""them"" to find him. As Bullitt enlists the help of his live-in artist girlfriend Cathy over the weekend and as she sees for the first time with what he deals every day, she wonders if he is indeed the man with whom she should be."
Valley of the Dolls,1967,PG-13,"Drama, Music, Romance","Anne Welles, a bright, brash young New England college grad leaves her Peyton Place-ish small town and heads for Broadway, where she hopes to find an exciting job and sophisticated men. During her misadventures in Manhattan and, later, Hollywood, she shares experiences with two other young hopefuls: Jennifer North, a statuesque, Monroe-ish actress who wants to be accepted as a human being, but is regarded as a sex object by all the men she meets, and Neely O'Hara, a talented young actress who's accused of using devious means by a great older star (Helen Lawson) to reach the top, pulling an ""All About Eve""-type deception in order to steal a good role away from her."
Thoroughly Modern Millie,1967,G,"Comedy, Musical, Romance","In 1922 New York City, Millie Dillmount and Miss Dorothy Brown are just two of the girls living at the Priscilla Hotel for Single Young Ladies run by Mrs. Meers. Orphaned, Miss Dorothy, just recently arrived, is a naive, old-fashioned girl from a seemingly privileged background who has aspirations to be a stage actress. From more modest means, Millie, in New York for three months, used to be old fashioned, but now has a new modern sensibility and look to match, complete with bobbed hair and dresses with hemlines above the knee. Included in this new modern sensibility is Millie's goal of getting a job as a stenographer, with a quick promotion to being her wealthy boss' ""Mrs."". Love is not to factor into the equation. She believes she's found the right employer in the form of chisel-jawed Trevor Graydon of the Sincere Trust Insurance Company. Millie's pursuit of Mr. Graydon is despite the fact that Mr. Graydon sees her as one of the boys, he has old fashioned sensibilities, and Millie herself has a mutual attraction to another boy named Jimmy Smith. Although she likes Jimmy, Millie feels that Jimmy, as a paper clip salesman with an overwhelming happy-go-lucky attitude, is not driven enough to be husband material. That doesn't stop Jimmy's pursuit of Millie. In her association with Jimmy, Millie meets flamboyant wealthy Renaissance woman Muzzy Van Hossmere. Jimmy's father once worked as Muzzy's gardener. Originally from humble means much like Millie, Muzzy tries to convince Millie that true love will lead to happiness, as that is what happened when she met the now deceased Mr. Van Hossmere who she had no idea was rich. In other goings-on among this new circle of friends, Miss Dorothy leaves New York without a word to anyone except Mrs. Meers. Thinking this situation rather odd, Millie connects Miss Dorothy's leaving with that of other girls previously living at the Priscilla Hotel. With Mr. Graydon's help, Jimmy and Millie try to find out what happened to Miss Dorothy."
In Cold Blood,1967,R,"Biography, Crime, Drama","In meeting in Kansas, ex-cons Perry Smith and Dick Hickock are breaking several conditions of their respective paroles. The meeting, initiated by Dick, is to plan and eventually carry out a robbery based on information he had received from a fellow inmate about $10,000 cash being locked in a hidden safe in the home of the farming Clutter family of Holcomb, Kansas. After the robbery, they plan on going to Mexico permanently to elude capture by the police. Each brings a necessary personality to the partnership to carry out the plan, Dick who is the brash manipulator, Perry the outwardly more sensitive but unrealistic dreamer with a violent streak under the surface. Perry literally carries all his dreams in a large box he takes with him wherever he goes. The robbery does not go according to plan in any respect, the pair who ultimately hogtie and execute all four members of the Clutter family, only coming away from the home with $43 in cash. As Perry and Dick go on the run, a murder investigation ensues, led by Topeka based Detective Alvin Dewey. If Dewey and his team are able eventually to identify the pair as the murderers and capture them, they, if they understand the two, may get their much needed confessions in dividing and conquering. Perry and Dick's fates may also be regardless of who literally pulled the trigger."
Concert for George,2003,PG-13,"Documentary, Music","George Harrison's friends, family, and bandmates unite for a tribute concert on the one-year anniversary of his death."
Elephant,2003,R,"Crime, Drama, Thriller",A day in the lives of a group of average teenage high school students. The film follows every character and shows their daily routines. However two of the students plan to do something that the student body won't forget.
Dorm Daze,2003,R,"Comedy, Crime, Mystery","Dorm Daze unfolds during a crazy afternoon at a university co-ed dormitory in the days before Christmas break when one of the students, Styles McFee, hires a prostitute named Dominique for his unwitting brother, Booker, to lose his virginity. But Booker prefers to lose his virginity to his long-term sweetheart Rachel just down the hall. Meanwhile, another student, named Wang, awaits the arrival of a French foreign exchange student, who speaks little English, also named Dominique. Farcical wackiness ensues as a series of mistaken identities and mishaps escalate into monumental proportions starting when Wang leaves for work, Dominique the Student arrives and is mistaken for the prostitute by Styles, while Dominique the Hooker is mistaken for the student by others including the two dorm gossip queens Lynne and Marla. Other characters involve Adrienne, who is targeted by the dorm geek, Newmar, with whom they had a drunken fling the night before. Adrienne tries to find a missing handbag belonging to her friend, Claire, who is having boyfriend troubles with Tony. Adrienne's roommate, Gerri, inadvertently gets her hands on another handbag similar looking to Claire's which is filled with $30,000 in cash. Gerri is soon mistaken for a shadowy hit woman, named Britany the Snake, by a local gangster named Lorenzo. Elsewhere, Pete's punk friend Cliff enters the dorm when Pete has to go to work. Cliff soon teams up with Dominique the Hooker to find the missing handbag with the cash while the token gay student Foosball works his way through all the plots of this collegiate comedy of Shakespearean proportions."
Gothika,2003,R,"Horror, Mystery, Thriller","Dr. Miranda Grey is a psychiatrist who works in a penitentiary, in the mental institution sector. She is married with Dr. Douglas Grey, the chief of department where Dr. Pete Graham also works. Chloe Sava, a patient of Dr. Miranda formerly abused by her stepfather, claims that she is frequently raped by the devil in her cell. After leaving the asylum in a stormy night, Dr. Miranda has a car accident, and when she wakes up, she is an inmate of the institution, being accused of an horrible crime and having no memory of the incident."
Dopamine,2003,R,"Comedy, Drama, Romance","Rand, Winston, and Johnson have a small tech startup company in the Bay Area that's developing a artificially-lived computer character, Koy Koy the bird, who can hear and see and interact with the user. Koy Koy gets placed in a kids schoolroom for testing, and Rand develops a relationship with one of the teachers, Sarah. Rand learns that his scientific understanding of human mating isn't necessarily a roadmap for the real thing."
A Decade Under the Influence,2003,R,Documentary,"The 1970s was an extraordinary time of rebellion, of questioning every accepted idea: political activism, hedonism, protests, the sexual revolution, the women's movement, the civil rights movement, the music revolution, rage and liberation. Every standard by which we set our social and cultural clocks was either turned inside out or thrown away completely and reinvented. For American cinema, the 1970s was an era during which a new generation of filmmakers created work for a new kind of audience--moviegoers who were hungry for stories that reflected their own experiences and who were turning their backs on aged old studio formulas. As a result, emerging filmmakers influenced by foreign directors such as Godard, Kurosawa and Fellini coupled with the social climate and a struggling studio system, converged to create a new kind of moviemaking. Through their choice of material, filmmakers such as Francis Ford Coppola, Martin Scorsese, Robert Altman, Peter Bogdanovich, William Friedkin, Roger Corman and Paul Schrader revolutionized mainstream movies and for the first time personal visions were coming out of the studio system."
Camp,2003,PG-13,"Comedy, Musical, Drama","Misfits in their lives back home, a group of young people live it up at musical-theater camp. While the sports counselor is completely ignored, the kids' spend all their time in rehearsal for a grueling schedule that involves a new show every two weeks. Several personal stories come to the fore. Is talented golden-boy Vlad honest in his feelings about Ellen? Can cross-dressing Michael have a relationship with his parents? Will one-hit-wonder musical playwrite and now camp counselor Bert Hanley remain mired in drink and cynicism? Fireworks are in store when Fritzi, who slavishly serves glamour girl Jill, is finally told to get a life, and the parents of Jenna, whose jaw has been wired shut in a compromise to avoid being sent to ""fat camp"", learn a valuable lesson at the summer's big end-of-season benefit."
Bus 174,2002,R,"Documentary, Crime","Documentary depicts what happened in Rio de Janeiro on June 12th 2000, when bus 174 was taken by an armed young man, threatening to shoot all the passengers. Transmitted live on all Brazilian TV networks, this shocking and tragic-ending event became one of violence's most shocking portraits, and one of the scariest examples of police incompetence and abuse in recent years."
The Station Agent,2003,R,"Comedy, Drama","When his only friend and co-worker dies, a young man born with dwarfism moves to an abandoned train depot in rural New Jersey. Though he tried to maintain a life of solitude, he is soon entangled with an artist who is struggling with a personal tragedy and an overly friendly Cuban hot-dog vendor."
Girls Will Be Girls,2003,R,"Comedy, Romance","Three actresses at various places on the Hollywood food chain navigate the minefield of love, aging, and ambition. Oh, and they're all played by men!"
Spy Kids 3: Game Over,2003,PG,"Action, Adventure, Comedy","Under-age agents Juni and Carmen Cortez set out on their newest most mind-blowing mission yet: journeying inside the virtual reality world of a 3-D video game designed to outsmart them, as the awe-inspiring graphics and creatures of gaming come to real life. Relying on humor, gadgetry, bravery, family bonds and lightning-quick reflexes, the Spy Kids must battle through tougher and tougher levels of the game, facing challenges that include racing against road warriors and surfing on boiling lava, in order to save the world from a power hungry villain."
The Missing,2003,R,"Adventure, Thriller, Western","In 19th-century New Mexico, a father (Tommy Lee Jones) comes back home, hoping to reconcile with his adult daughter Maggie (Cate Blanchett). Maggie's daughter is kidnapped, forcing father and estranged daughter to work together to get her back."
