Title,Year,Plot,Genre
S.W.A.T.,2003,"Based off of a one time T.V. show, two Los Angeles S.W.A.T. officers Jim Street and Brian Gamble were sent in to foil an extremely violent bank robbery. Although they thwarted the robbery, they shot a hostage in the process. Street was suspended from S.W.A.T. while Gamble was fired altogether. After 6 months, a veteran S.W.A.T. officer, Daniel Harrelson or ""Hondo"", is told to assemble a S.W.A.T. team for his division. He chooses other S.W.A.T. officers as well as 3 rookies. However, after they pass the S.W.A.T. training, they receive a message that a French crime boss, known as Alex Montell is trying to escape from prison. This will not be easy to prevent, especially after Montell promises $100 Million to his rescuers.",Action
Road to Perdition,2002,"1931. Mike Sullivan and Connor Rooney are two henchmen of elderly Chicago-based Irish-American mobster John Rooney, Connor's father. In many respects, John treats Mike more as his son, who he raised as his own after Mike was orphaned, than the volatile Connor, who nonetheless sees himself as the heir apparent to the family business. One evening, Mike's eldest son, twelve year old Michael Sullivan Jr., who has no idea what his father does for a living, witnesses Connor and his father gun down an associate and his men, the situation gone wrong initiated from an action by Connor. Caught witnessing the incident, Michael is sworn to secrecy about what he saw. Regardless, Connor, not wanting any loose ends, makes an attempt to kill Mike, his wife and their two sons. Mike and the surviving members of his family know that they need to go on the run as Connor, who has gone into hiding, will be protected through mob loyalty, especially by John, who cannot turn on his own flesh and blood. Still, Mike has to figure out a way for retribution for what Connor did, while still protecting him and his family, not only from Connor, but from John and his fellow associates. Through it all, Mike wants those in his family that had no say in what he chose as a living, to have some redemption for their eternal souls.",Crime
Sweet Home Alabama,2002,"Melanie Carmichael, an up and rising fashion designer in New York, has gotten almost everything she wished for since she was little. She has a great career and the JFK-like fiancée of New York City. But when he proposes to her, she doesn't forget about her family back down South. More importantly, her husband back there, who refuses to divorce her ever since she sent divorce papers seven years ago. To set matters straight, she decides to go to the south quick and make him sign the papers. When things don't turn out the way she planned them, she realizes that what she had before in the south was far more perfect than the life she had in New York City.",Comedy
Possession,2002,"Roland Michell is an American scholar trying to make it in the difficult world of British Academia. He has yet to break out from under his mentor's shadow until he finds a pair of love letters that once belonged to one of his idols, a famous Victorian poet. Michell, after some sleuthing, narrows down the suspects to a woman not his wife, another well known Victorian poet. Roland enlists the aid of a Dr. Maud Bailey, an expert on the life of the woman in question. Together they piece together the story of a forbidden love affair, and discover one of their own. They also find themselves in a battle to hold on to their discovery before it falls into the hands of their rival, Fergus Wolfe.",Drama
Pauline and Paulette,2001,"Pauline is a 'little girl of 66 years old'. She is intellectually disabled and been cared after by her sister Martha. When Martha dies, her two younger sisters, Paulette and Cecile have to ...",Comedy
The Piano Teacher,2001,"Erika Kohut is a pianist, teaching music. Schubert and Schumann are her forte, but she's not quite at concert level. She's approaching middle age, living with her mother who is domineering then submissive; Erika is a victim then combative. With her students she is severe. She visits a sex shop to watch DVDs; she walks a drive-in theater to stare at couples having sex. Walter is a self-assured student with some musical talent; he auditions for her class and is forthright in his attraction to her. She responds coldly then demands he let her lead. Next she changes the game with a letter, inviting him into her fantasies. How will he respond; how does sex have power over our other faculties?",Drama
Sex and Lucia,2001,"Lucía is a young waitress in a restaurant in the centre of Madrid. After the loss of her long-time boyfriend, a writer, she seeks refuge on a quiet, secluded Mediterranean island. There, bathed in an atmosphere of fresh air and dazzling sun, Lucía begins to discover the dark corners of her past relationship, as if they were forbidden passages of a novel which the author now, from afar, allows her to read.",Drama
The Sweetest Thing,2002,"To ease their roommate through a relationship-induced depression, Christina Walters and Courtney Rockcliffe take her out on the town. During their attempts to find her ""Mr. Right Now"", Christina meets Peter Donahue. Missing her opportunity with him that night, Christina is talked into pursuing him to his brother's wedding.",Comedy
Star Trek: Nemesis,2002,"After a joyous wedding between William Riker and Deanna Troi, Captain Picard and the Enterprise crew stumble upon a mysterious signal which results in it being a prototype android who is the twin to Data. Then the Enterprise is invited to Romulus to negotiate peace with the Romulans by their new Praetor named Shinzon. However, Shinzon is revealed to be a clone of Picard who was raised on Remus, a slave planet to the Romulans. Later on, Picard discovers that this peace treaty was nothing more than a set-up due to the fact that Shinzon needs Picard in order to survive. But little do the Enterprise crew know that Shinzon also plans to do away with the Federation by unleashing a weapon that could destroy a whole planet.",Action
Reign of Fire,2002,"It is twenty years in the future, and the planet has been devastated by vicious fire-breathing dragons. The last vestiges of humanity now struggle for survival at remote outposts. In a ruined castle in the English countryside, Quinn is desperately trying to hold together a band of frightened, restless survivors. As a boy, Quinn watched his mother die protecting him from one of the beasts, and is still haunted by the memory. One day, a group of American rogues shows up, led by a brash, tough-guy named Van Zan. He claims to have discovered a way to kill the dragons once and for all, and enlists Quinn's help. But doing so will force Quinn to confront his own frightening memories. This, and Quinn's responsibilities to those that are under his protection, results in a battle of wills between the two men. In the end, events cause them both to realize that they must work together to defeat the monsters--both without and within.",Action
The Pianist,2002,"In this adaptation of the autobiography ""The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945,"" Wladyslaw Szpilman, a Polish Jewish radio station pianist, sees Warsaw change gradually as World War II begins. Szpilman is forced into the Warsaw Ghetto, but is later separated from his family during Operation Reinhard. From this time until the concentration camp prisoners are released, Szpilman hides in various locations among the ruins of Warsaw.",Biography
Manic,2001,"Lyle Jensen is subject to sudden and violent outbursts, and he is committed to the juvenile wing of the Northwood Mental Institution. Several other youths are there with a variety of serious problems. Lyle interacts with other patients and staff on a human, and sometimes not so human level. The psychological problems of the patients also forms the fabric by which we see what's right with them, and what's wrong with the society that affects them.",Drama
The Grey Zone,2001,"The true story of Dr. Miklos Nyiszli, a Hungarian Jew chosen by Josef Mengele to be the head pathologist at Auschwitz. Nyiszli was one of Auschwitz's Sonderkommandos - Special Squads of Jewish prisoners placed by the Nazis in the excruciating moral dilemma of helping to exterminate fellow Jews in exchange for a few more months of life. Together, the Sonderkommandos struggled to organize the only armed revolt that would ever take place at Auschwitz. As the rebellion is about to commence, a group from the unit discovers a 14-year-old girl who has miraculously survived a gassing. A catalyst for their desperate attempt at personal redemption, the men become obsessed with saving this one child, even if doing so endangers the uprising which could save thousands. To what terrible lengths are we willing to go to save our own lives, and what in turn would we sacrifice to save the lives of others?",Drama
Rabbit-Proof Fence,2002,"Western Australia, 1931. Government policy includes taking half-caste children from their Aboriginal mothers and sending them a thousand miles away to what amounts to indentured servitude, ""to save them from themselves."" Molly, Daisy, and Grace (two sisters and a cousin who are 14, 10, and 8) arrive at their Gulag and promptly escape, under Molly's lead. For days they walk north, following a fence that keeps rabbits from settlements, eluding a native tracker and the regional constabulary. Their pursuers take orders from the government's ""chief protector of Aborigines,"" A.O. Neville, blinded by Anglo-Christian certainty, evolutionary world view and conventional wisdom. Can the girls survive?",Adventure
Maid in Manhattan,2002,"Marisa Ventura is a single mother born and bred in the boroughs of New York City, who works as a maid in a first-class Manhattan hotel. By a twist of fate and mistaken identity, Marisa meets Christopher Marshall, a handsome heir to a political dynasty, who believes that she is a guest at the hotel. Fate steps in and throws the unlikely pair together for one night. When Marisa's true identity is revealed, the two find that they are worlds apart, even though the distance separating them is just a subway ride between Manhattan and the Bronx.",Comedy
House of 1000 Corpses,2003,"In ""House of 1000 Corpses"", two young couples take a misguided tour onto the back roads of America in search of a local legend known as Dr. Satan. Lost and stranded, they are set upon by a bizarre family of psychotics. Murder, cannibalism and satanic rituals are just a few of the 1000+ horrors that await.",Horror
Time and Tide,2000,"Tyler is a restless, streetwise 21-year-old Hong Kong native who's had trouble gaining the trust of others all his life. He secretly fantasizes about living the good life in South America. After a while, he is forced to deal with the reality of impending fatherhood. Hankering for quick cash, however, he joins a bodyguard company. Later, he makes friends with a once disillusioned mercenary determined to begin life in a new way. However, their companionship is brief: they both are uncontrollably forced toward opposite sides of a deadly showdown...",Action
How to Lose a Guy in 10 Days,2003,"Benjamin Barry is an advertising executive competing with two female co-workers for a major campaign for a diamond merchant. He cuts a deal with his competitors that the account is his if he can make a woman of their choice fall in love with him in 10 days. In comes Andie Anderson who, in turn, is writing a story on how to lose a guy in 10 days as a bet with her boss to be allowed to write more substantial stories. With a hidden agenda in each camp, will either party be able to complete their mission?",Comedy
Unfaithful,2002,"Connie Sumner has a loving husband, a beautiful home, and a wonderful son, but she wants more. When she's approached one day by a handsome stranger while trying to hail a taxi, she becomes obsessed with him and eventually starts an affair. But her selfish actions soon catch up with her...",Drama
The Experiment,2001,"The movie is based on the infamous ""Stanford Prison Experiment"" conducted in 1971. A makeshift prison is set up in a research lab, complete with cells, bars and surveillance cameras. For two weeks 20 male participants are hired to play prisoners and guards. The 'prisoners' are locked up and have to follow seemingly mild rules, and the 'guards' are told simply to retain order without using physical violence. Everybody is free to quit at any time, thereby forfeiting payment. In the beginning the mood between both groups is insecure and rather emphatic. But soon quarrels arise and the wardens employ ever more drastic sanctions to confirm their authority.",Drama
Nine Queens,2000,"Early one morning, Marcos observes Juan successfully pulling off a bill-changing scam on a cashier, and then getting caught as he attempts to pull the same trick on the next shift. Marcos steps in, claiming to be a policeman, and drags Juan out of the store. Once they are back on the street, Marcos reveals himself to be a fellow swindler with a game of much higher stakes in mind, and he invites Juan to be his partner in crime. A once-in-a-lifetime scheme seemingly falls into their laps - an old-time con man enlists them to sell a forged set of extremely valuable rare stamps, The Nine Queens. The tricky negotiations that ensue bring into the picture a cast of suspicious characters, including Marcos' sister Valeria, their younger brother Federico and a slew of thieves, conmen and pickpockets. As the deceptions mount, it becomes more and more difficult to figure out who is conning whom.",Crime
Juwanna Mann,2002,"Juwanna Mann follows the story of Jamal Jeffries, the reigning 'bad boy' of basketball, whose undisciplined on-court antics land him out of the league and without any prospects. Financially strapped and untrained in anything but basketball, Jamal comes up with a plan so outrageous it just might work: dress up like a woman and try out for the woman's basketball league. To his surprise, he makes it, but now the real challenge begins - to cease being Jamal and start new life as Juwanna. Matters become even more complicated when Juwanna realizes that he is falling for his teammate Michelle, who shows him that there is more to women than meets the eye.",Comedy
The Believer,2001,"""The Believer"" explores a Jewish student's private journey to understand the meaning of Judaism in his life. Set in New York City, the Plot follows a morally confused young adult struggling with the conflict between his beliefs and his heritage. ""The Believer"" examines themes of religion, family, and self-loathing. It is a psychological examination into the forces of intolerance, both on the individual and society as a whole.",Drama
Mostly Martha,2001,"In a German restaurant, Chef Martha Klein is the undisputed supreme ruler of the kitchen staff and woe to any customer who would dare criticize her cooking. Her life is firmly centered around cooking which takes on a obsessive level with stubborn single mindedness. Even when she is ordered to take therapy, she still constantly talks about her work and the iron clad control she relishes in her task. All that changes when her sister dies in a car accident, leaving her 8 year old daughter, Lina. Martha takes her niece in and while making enquiries for her estranged father, she struggles to care for this stubbornly headstrong child. Meanwhile at work, a new chef named Mario is hired on and Martha feels threatened by this unorthodox intruder. The pressures of both her private and work life combine to create a situation that will fundamentally call her attitudes and life choices into question while these interlopers into her life begin to profoundly change it.",Comedy
Heaven,2002,"Love, retribution and redemption. Devastated by her husband's death from a drug overdose, Philippa, a British teacher living in Turin, Italy, tries to bring justice to the biggest drug dealer in Turin when the local police ignore her information about him. In building a home-made bomb and setting off a plan that fails miserably, her status changes from young widow to that of a criminal in custody. Young police officer Filipo descends into Philippa's life, changing her bleak outlook on existence into one in search of tranquility among corruption, as they become unlikely soul mates and lovers.",Crime
Dummy,2002,"Steven, nearly 30 and living with his parents, sees an old Edgar Bergen movie on TV and decides to fulfill his longtime dream of becoming a ventriloquist. His beautiful unemployment counselor Lorena finds him work, but puts out a restraining order on him when he paints a thank-you note on her door. Later, this young mother agrees to date him anyway, but finds his bickering family, and his inexperience with women, daunting to a relationship. Steven's sister Heidi is a wedding planner with a drunken ex-fiancé who keeps showing up at the door. His friend Fangora is a pseudo-punk rocker whose sex does not prevent her from giving him terrible advice about women. The wedding of a Jewish girl, who wants Klezmer music and gets something unexpected, will become a turning point in everyone's lives.",Comedy
Die Another Day,2002,"Pierce Brosnan gives one last mission as James Bond. Starting off in North Korea, Bond is betrayed and captured. 14 months later, Bond is set free, but traded for Zao who was captured by MI6. When back in his world, Bond sets off to track down Zao. Bond gets caught up in yet another scheme which sends him to millionaire Gustav Graves. Another MI6 agent known as Miranda Frost is also posing as a friend of Graves. Bond is invited to a presentation held by Graves about a satellite found in space which can project a huge laser beam. Bond must stop this madman with a fellow American agent, known as Jinx. Whilst Bond tries to stop Graves and Zao, will he finally reveal who betrayed him?",Action
Lucky Break,2001,"Half-way through his 12-year prison sentence for an incompetent armed robbery, Jimmy Hands gets a lucky break: he's transferred to a prison from which he can probably escape. He convinces the governor to stage a musical in an old chapel next to the prison's outer wall. He rounds up volunteer actors and puts his escape plan into production. Two other barriers, besides the wall, confront him: the arrival of a nasty inmate, John Toombes, who insists on joining the escape, and Jimmy's feelings of attraction for Anabel, a social worker who agrees to appear in the play. Opening night approaches: is this Jimmy's breakout performance?",Comedy
Bulletproof Monk,2003,"For 60 years a mysterious monk with no name has zigzagged the globe to protect an ancient scroll - a scroll that holds the key to unlimited power. Now the Monk must look for a new scrollkeeper. Kar is an unlikely candidate, a streetwise young man whose only interest is himself. But when he inadvertently saves the Bulletproof Monk from capture, the two become partners in a scheme to save the world from the scroll's most avid pursuer. Packed with spectacular special effects and martial arts action, the Monk, Kar, and a sexy Russian mob princess called Bad Girl must struggle to find, face, and fight the ultimate enemy.",Action
The Last Days,1998,"In late 1944, even as they faced imminent defeat, the Nazis expended enormous resources to kill or deport over 425,000 Jews during the ""cleansing"" of Hungary. This Oscar-winning documentary, executive produced by Steven Spielberg, focuses on the plight of five Hungarian Jews who survived imprisonment in Auschwitz. Though these survivors recount the horrors they witnessed and endured as a result of the Nazis' ""Final Solution,"" their individual triumphs are a testament to hope and humanity.",Documentary
Waking Ned Devine,1998,"The lucky winner of the national lottery is Ned Devine, so taken by his good fortune that he now can't be waked, because he died from the shock of it! News of the win spread quickly in the scenic little Irish village of Tully More, but not the secret news of Ned's demise. With lottery officials closing in to confirm the prize claimed by the deceased Devine, Ned's closest friends scheme to keep the prize money close to home, in memory of Ned of course! But as the plot twists humorously, they learn it is hard is to keep such a secret in a small town.",Comedy
Ringmaster,1998,"Jerry Springer stars as more or less himself, the host of a raunchy, controversial and popular Los Angeles talk show which features everyday people with problems and who frequently vent their problems on the air. A new group of guests are flown in for one show who include white trailer trash from Sarasota FL; Connie, whose current husband has cheated on her with her nymphomaniac teenage daughter, Angel, for which Connie has gotten revenge by having sex with Angel's fiance; and from Detroit, black trash Starletta, whose boyfriend, Damone, has slept with all of her girlfriends. Soon the paths of all of these parties cross which leads to more sex, arguments, physical violence, and Jerry sweating out just another day.",Comedy
The Celebration,1998,"The Father turns 60. His family, which is a big one of the kind, gathers to celebrate him on a castle. Everybody likes and respects the father deeply...or do they? The youngest son is trying to live up to the father's expectations. He is running a grill-bar in a dirty part of Copenhagen. The oldest son runs a restaurant in France, while the sister is a anthropologist. The older sister has recently committed suicide and the father asks the oldest son to say a few words about her, because he is afraid he will break into tears if he does it himself. The oldest son agrees without argument. Actually he has already written two speeches. A yellow and a green one. By the table, he asks the father to pick a speech. The father chooses green. The oldest son announces that this is the Speech of Truth. Everybody laughs, except for the father who gets a nervous look on his face. For he knows that the oldest son is about to reveal the secret of why the oldest sister killed herself.",Drama
My Name Is Joe,1998,"Two thirtysomethings, unemployed former alcoholic Joe and community health worker Sarah, start a romantic relationship in the one of the toughest Glasgow neighbourhoods.",Drama
Hilary and Jackie,1998,"British sisters Hilary du Pré and Jacqueline du Pré are both talented musicians, Hilary a flautist, Jackie a cellist. With regard to their musical prowess, they have always had a friendly competitive nature with each other, fueled in large part by the want of their pianist mother, Iris, for them to achieve musical greatness. But underlying this friendliness is a deep desire to be truly better than the other. Despite or perhaps in part because of her flamboyant performance style, the younger Jackie emerges from the shadows of older Hilary's more triumphant childhood successes to become the renowned musician in the family. Although both continue with their music and both end up marrying (Hilary to Kiffer Finzi, and Jackie to pianist Daniel Barenboim), Hilary focuses on her home life, whereas Jackie focuses on her career. A seemingly odd request by Jackie to Hilary is later understood, but Hilary's agreement to that request demonstrates the true nature of their loving but unusual sisterly relationship.",Biography
Dear Jesse,1998,"Can you go home again? What if you're a gay man and home is a state where voters keep electing a homophobe to the US Senate? In 1996, at age 30, native son Tim Kirkman returns to North Carolina to explore the parallels and differences between himself and Jesse Helms: they're from the same town and college, with media interests, from families blessed by adoptions, Baptists by upbringing. Tim puts his camera in front of his family, a boyhood pal, college friends, his pastor, Helms fans, community activists, novelists Lee Smith and Allan Gurganus, a mayor who's gay, and people in the street, including a brief interview with Matthew Shepard. What is it to judge, and what is it to love?",Documentary
The Cruise,1998,"Affectionate portrait of Tim ""Speed"" Levitch, a tour guide for Manhattan's Gray Line double-decker buses. He talks fast, is in love with the city, and dispenses historical facts, architectural analysis, and philosophical musings in equal measures. He's reflective and funny about cruising: he loves it, got in it to meet women, and he'd quit work if he could. His personal life is disclosed in small doses: he takes home $200 a week for 20 hours work, home is his suitcase and wherever he can flop, he's been arrested for going out on the roof tops of skyscrapers to see his city; he stands between the towers of the World Trade Center, spins until he's dizzy, then looks up.",Documentary
Still Crazy,1998,"""Strange Fruit"" had everything that makes a legendary rockband: Money, Fame, Success, Groupies, a Singer who died of drugs and even a divine ending, when lightning struck the stage during an open-air. Twenty years later, all band members are minding their own businesses, the idea of a band reunion is brought up by, well, public request. Tony, the former keyboard player, sets out only to find his former friends working as a roofer, a gardener and a hotel clerk. They all became rather everyday people, married or still single, they definitely are not wild and crazy anymore. But with the help of former manager Karen, who is still dreaming of Brian, the apparently deceased lead guitarist, they all, old, fat and wrinkled as they are, try to catch that spirit again.",Comedy
Happiness,1998,"A woman breaks up with her boyfriend, he thinks it's because he's fat. A man is unable to tell her next door neighbor he finds her sexually attractive. An old couple wants to split up, but they don't want to get a divorce. A therapist masturbates to teen magazines. An 11 year old kid is insecure about the fact that he hasn't cum yet. Office workers try to recall the face of a coworker who recently died. A woman is sure she has everything she could ever want. The lives of these individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",Comedy
Little Voice,1998,"The pathetically shy LV lives the life of a recluse listening to her late father's old records in her room and in the process driving her abusive, loud-mouthed mother, Mari Hoff, to distraction. At night, however, when her father's ghost visits, LV sings the songs of the great divas such as Judy Garland, Marilyn Monroe and Shirley Bassey. One evening LV is overheard by one of her mother's loathsome boyfriends, the disastrous dead-end talent scout Ray Say, who recognizes her innate talent and realizes this is his last big chance for the glittering prizes. Gambling everything Ray Say forces LV to appear at a local run-down, seedy night club run by Mr. Boo. As preparations for the big event proceed apace LV meets the equally shy Billy, a pigeon-racing telephone engineer and they form a tentative, gentle friendship. The big night finally arrives and everything is in readiness, the band, the club and even a big agent from London, but what about LV?",Comedy
Urban Legend,1998,"Urban Legend tells the story of a group of pretty college students at a remote New England university. The focus of the story is Natalie, a beautiful, academically-gifted student at the fictional Pendleton University. Natalie and her friends are all involved in the Folklore class being taught by Professor Wexler. Wexler regales his class with urban legends, which include Pendleton's own urban legend about a Psych professor who murdered six students at Stanley Hall 25 years ago. Natalie is the first one to suspect there's a killer on campus, especially after she has ties to all of the victims. No one, including her friends, Wexler, Dean Adams and security guard, of course, believes her until it's too late. Now she finds that she and her friends are part of the killer's ultimate urban legend.",Horror
Outside Ozona,1998,"A serial killer is on the prowl in the badlands of Ozona, Oklahoma, and the travelers who intersect at a roadside cafeteria somewhere between Texas and New Mexico are destined to cross his path. They include a circus clown and his stripper girlfriend, grieving sisters, a trucker, and a woman who is taking her mother to see the ocean before she dies. Tying everything together even tighter is the presence of the local radio station, whose DJ and boss don't seem to be getting along too well.",Comedy
Bride of Chucky,1998,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts, two eloping high-school graduates.",Horror
Air Bud: Golden Receiver,1998,"Now in the 8th Grade, Josh discovers he has a great throwing arm and tries out for his school football team. It is then soon discovered that his dog, Buddy, can also make impossible catches, and the two become an unstoppable force. However, an evil duo of Russian circus-managers attempt to kidnap Buddy and use him as their main attraction, while the Timberwolves make it to the championship. Can Josh save Buddy before the big game?",Comedy
Whatever,1998,"A teen faces her impending adulthood in the carefree sex and drug revolution years of the early 80's prior to fears of AIDS. She lives with her bitter, divorced mother and her sadistic kid brother. Looking forward to a life based on her passion for art, she nevertheless gets in with the partying crowd which causes her to miss deadlines and poor grades which jeapordizes her future. Ultimately she ends up losing her virginity to an older artist wanna-be who she has had a long standing crush on.",Drama
In God's Hands,1998,In God's Hands is the story of big wave riders that go all over the globe searching to ride bigger and bigger waves. The story mostly follows Shane Dorian and his obsession with surfing. It also follows how they train for waves like that.,Action
Varsity Blues,1999,"In small-town Texas, high school football is a religion. The head coach is deified, as long as the team is winning and 17-year-old schoolboys carry the hopes of an entire community onto the gridiron every Friday night. In his 35th year as head coach, Bud Kilmer (Jon Voight) is trying to lead his West Canaan Coyotes to their 23rd division title. When star quarterback Lance Harbor (Paul Walker) suffers an injury, the Coyotes are forced to regroup under the questionable leadership of John Moxon (James Van Der Beek), a second-string quarterback with a slightly irreverent approach to the game. ""Varsity Blues"" explores our obsession with sports and how teenage athletes respond to the extraordinary pressures places on them.",Comedy
Slam,1998,"Slam tells the story of Ray Joshua, an original, gifted young MC trapped in a war-zone housing project known as Dodge City. Unable to find a job, Ray copes with the despair and poverty of his neighborhood by using his wits and verbal talent.",Drama
High Art,1998,"Syd, who lives with her boyfriend James, goes to complain to her neighbor about the leak in the ceiling. Her neigbor is photographer Lucy Berliner and Syd starts to fall in love with her.",Drama
20 Dates,1998,"Myles is divorced in L.A. He wants a love life and a film career. So he decides to go on 20 dates and find true love in front of a camera, making his first feature. His patient agent, Richard, finds a $60,000 investor, the shadowy Elie. Myles starts his search, sometimes telling his date she's being filmed, sometimes not. Elie wants sex and titillation, Myles wants it ""real."" Myles regularly talks with his old film teacher, Robert McKee, who wonders if love is possible in modern life. Half-way through the 20 dates, Myles meets Elisabeth; she's everything he desires and she likes him. Can he finish the 20 dates, satisfy Elie, and complete his film without losing Elisabeth?",Biography
Pi,1998,Max is a genius mathematician who's built a supercomputer at home that provides something that can be understood as a key for understanding all existence. Representatives both from a Hasidic cabalistic sect and high-powered Wall Street firm hear of that secret and attempt to seduce him.,Drama
Shakespeare in Love,1998,"Will Shakespeare is a known but struggling poet, playwright and actor who not only has sold his next play to both Philip Henslow and Richard Burbidge but now faces a far more difficult problem: he is bereft of ideas and has yet to begin writing. He is in search of his muse, the woman who will inspire him but all attempts fail him until he meets the beautiful Viola de Lesseps. She loves the theatre and would like nothing more than to take to the stage but is forbidden from doing so as only men can be actors. She is also a great admirer of Shakespeare's works. Dressing as a man and going by the name of Thomas Kent, she auditions and is ideal for a part in his next play. Shakespeare soon sees through her disguise and they begin a love affair, one they know cannot end happily for them as he is already married and she has been promised to the dour Lord Wessex. As the company rehearses his new play, Will and Viola's love is transferred to the written page leading to the masterpiece that is Romeo and Juliet.",Comedy
The Rugrats Movie,1998,"Tommy faces responsiblity when Dil, his new baby brother is born. As with all newborns, the child becomes a bane to Tommy and the rest of his gang. Even Phil and Lil don't like them. So they decide to return Dil to where he came from, the hospital. But they get lost along the way, REALLY lost, and get into even more trouble with a circus. Can they find their way home and can Tommy and Dil just get along?",Animation
The Siege,1998,"After the abduction by the US military of an Islamic religious leader, New York City becomes the target of escalating terrorist attacks. Anthony Hubbard, the head of the FBI's Counter-Terrorism Task Force in New York, teams up with CIA operative Elise Kraft to hunt down the terrorist cells responsible for the attacks. As the bombings continue, the US government responds by declaring martial law, sending US troops, led by Gen. Devereaux, into the streets of New York City.",Action
The Faculty,1998,"A horror tale set in a High School where the students suspect the teaching staff of being aliens, who are intent on making the students their victims.",Horror
At First Sight,1999,"First Sight is true to the title from start to finish. Val Kilmer skates in the dark appears FIRST to Mira Sorvino car headlights driving lost searching for her retreat spa motel. Kilmers FIRST visual memory links him coincidently to his last. This is a true love drama with Nathan Lane providing laughs counseling visual therapy. All stars emotional vulnerability teach the audience learning love matters in art, architecture, education, parenting, massage and trees.",Drama
BASEketball,1998,"Two losers from Milwaukee, Coop & Remer, invent a new game playing basketball, using baseball rules. When the game becomes a huge success, they, along with a billionaire's help, form the Professional Baseketball League where everyone gets the same pay and no team can change cities. Coop & Remer's team, the Milwaukee Beers is the only team standing in the way of major rule changes that the owner of the Dallas Felons wants to institute.",Comedy
I Got the Hook Up,1998,"Two broke buddies feel lucky when they come upon a truckload of cellular phones and begin selling them out of the back of their van. Trouble arises though, when the phones develop faults. The two friends then not only have to deal with unsatisfied customers but also the FBI.",Comedy
I Still Know What You Did Last Summer,1998,"Julie's back in college with her new friend, and they win a weekend trip to an island. On the way there, someone dies, and then the girls are tormented on the island.",Horror
There's Something About Mary,1998,"Ted was a geek in high school, who was going to go to the prom with one of the most popular girls in school, Mary. The prom date never happened, because Ted had a very unusual accident. Thirteen years later he realizes he is still in love with Mary, so he hires a private investigator to track her down. That investigator discovers he too may be in love with Mary, so he gives Ted some false information to keep him away from her. But soon Ted finds himself back into Mary's life, as we watch one funny scene after another.",Comedy
Patch Adams,1998,"Patch Adams is determined to become a medical doctor because he enjoys helping people. Unfortunately, the medical and scientific community does not appreciate his methods of healing the sick, while the actual patients, medical professors, and hospital nurses all appreciate the work *he* can do, because they are unable to do it.",Biography
You've Got Mail,1998,The owner of a large bookstore chain starts putting the owner of a small local bookstore out of business. Meanwhile they have been corresponding over the internet without knowing who either of them are. They can't stand each other in person but over the internet they are very attracted. He finds out who she is but she doesn't know. He starts to like her more but she still hates him. He has to fix it.,Comedy
Rushmore,1998,"Max Fischer is a precocious 15-year-old whose reason for living is his attendance at Rushmore, a private school where he's not doing well in any of his classes, but where he's the king of extracurricular activities - from being in the beekeeping society to writing and producing plays, there's very little after school he doesn't do. His life begins to change, however, when he finds out he's on academic probation, and when he stumbles into love with Miss Cross, a pretty teacher of the elementary school at Rushmore. Added to the mix is his friendship with Herman Blume, wealthy industrialist and father to boys who attend the school, and who also finds himself attracted to Miss Cross. Max's fate becomes inextricably tied to this odd love triangle, and how he sets about resolving it is the story in the film.",Comedy
Rounders,1998,"A young, reformed gambler must return to playing big stakes poker to help a friend pay off loan sharks, while balancing his relationship with his girlfriend and his commitments to law school.",Crime
The Harmonists,1997,"Comedian Harmonists tells the story of a famous, German male sextet, five vocals and piano, the ""Comedian Harmonists"", from the day they meet first in 1927 to the day in 1934, when they become banned by the upcoming Nazis, because three of them are Jewish.",Biography
Can't Hardly Wait,1998,"It's high school graduation and, like all seniors, they want to party. So, 500 high school seniors look forward to a party while, in the meantime, a boy wants to get a girl he's loved for years who just broke up with her boyfriend, and one head-case who wants revenge on a lifelong bully. So, the party comes, things develop. People have sex, drink, and go along with most of the guidelines of a high school graduation party.",Comedy
Another Day in Paradise,1998,"Bobbie is an addict and small-time thief. When one of his jobs goes bad, Mel is called in to patch him up. Mel offers him a chance at a bigger score. Over time, Mel and his girlfriend Sid become almost like parents to Bobbie and his girlfriend Rosie, but this can't last.",Crime
Elizabeth,1998,"This film details the ascension to the throne and the early reign of Queen Elizabeth the First, as played by Cate Blanchett. The main focus is the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",Biography
Hav Plenty,1997,"Lee Plenty is an almost broke would-be novelist and Havilland Savage is rich and very beautiful woman and his friend. When she invites him to her home for New Year's Eve, they start to build up a romance.",Comedy
Pecker,1998,A Baltimore sandwich shop employee becomes an overnight sensation when a photographer's photos he's taken of his weird family become the latest rage in the art world.,Comedy
